1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA,CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA;LABORATORIO, RUTINA BÁSICA. FONASA;LABORATORIO, RUTINA BÁSICA. NO FONASA
4810; 177.55; 177.55; 93.91; 93.91; 92.42; 92.42; 0.00; 0.00; 87.17; 87.17; 87.17; 87.17; 127.92; 127.92; 228.93; 228.93; 313.21; 313.21; 444.50; 444.50; 127.92; 127.92; 92.42; 92.42; 496.91; 496.91; 291.62; 291.62; 509.51; 509.51; 291.62; 291.62; 285.37; 285.37; 470.10; 470.10; 470.10; 470.10; 470.10; 470.10; 398.43; 644.83
5012; 172.82; 172.82; 93.46; 102.20; 87.34; 87.34; 87.34; 87.34; 90.84; 90.84; 92.56; 92.56; 109.98; 109.98; 200.20; 200.20; 290.76; 290.76; 576.64; 576.64; 271.12; 271.12; 87.34; 87.34; 337.59; 337.59; 169.93; 169.93; 169.93; 169.93; 169.93; 169.93; 169.92; 169.92; 192.84; 192.84; 679.36; 679.36; 408.22; 408.22; 339.80; 339.80
5163; 148.21; 148.21; 94.56; 94.56; 91.72; 91.72; 0.00; 0.00; 91.72; 91.72; 91.72; 91.72; 259.07; 259.07; 259.58; 259.58; 347.90; 347.90; 608.59; 608.59; 481.09; 481.09; 91.72; 91.72; 406.58; 406.58; 307.99; 307.99; 737.20; 737.20; 307.99; 307.99; 307.99; 307.99; 897.12; 897.12; 956.00; 956.00; 860.73; 860.73; 648.03; 648.03
5315; 168.50; 168.50; 94.54; 94.54; 89.73; 89.73; 89.73; 89.73; 89.73; 89.73; 95.53; 95.53; 202.65; 202.65; 318.06; 318.06; 445.71; 445.71; 729.80; 729.80; 485.94; 485.94; 89.73; 89.73; 795.06; 795.06; 318.96; 318.96; 795.06; 795.06; 159.32; 159.32; 159.32; 159.32; 561.94; 561.94; 795.06; 795.06; 795.06; 795.06; 478.63; 478.63
5517; 164.04; 164.04; 99.51; 99.51; 92.06; 92.06; 92.06; 92.06; 92.06; 92.06; 95.48; 95.48; 153.56; 153.56; 262.95; 262.95; 317.07; 317.07; 547.85; 547.85; 271.69; 271.69; 92.06; 92.06; 769.28; 769.69; 298.33; 298.33; 769.28; 769.69; 197.26; 197.26; 197.26; 197.26; 298.33; 298.33; 956.00; 956.00; 769.28; 769.28; 394.49; 394.49
5810; 158.70; 158.71; 94.43; 94.43; 91.13; 91.14; 91.13; 91.14; 91.13; 91.14; 95.48; 95.49; 287.97; 287.97; 262.99; 262.99; 282.51; 282.51; 435.80; 435.80; 283.45; 283.44; 0.00; 0.00; 300.50; 300.50; 300.50; 300.50; 300.50; 300.50; 264.24; 264.23; 264.24; 264.23; 264.24; 264.23; 379.78; 379.77; 956.00; 956.00; 528.44; 528.44
6012; 165.19; 165.19; 101.81; 101.81; 90.96; 90.96; 90.96; 90.96; 90.96; 90.96; 94.40; 94.40; 210.03; 210.03; 271.12; 271.12; 330.31; 330.31; 551.80; 551.80; 106.93; 106.93; 90.96; 90.96; 592.66; 592.66; 381.49; 381.49; 381.49; 381.49; 381.49; 381.49; 183.25; 183.25; 231.63; 231.63; 956.00; 956.00; 654.52; 654.52; 383.65; 383.65
6062; 140.52; 140.52; 102.29; 102.29; 92.66; 92.66; 92.66; 92.66; 92.66; 92.66; 92.66; 92.66; 172.62; 172.62; 229.13; 229.13; 242.47; 242.47; 546.28; 546.28; 338.31; 338.31; 92.66; 92.66; 249.83; 249.83; 249.83; 249.83; 249.83; 249.83; 249.83; 249.83; 249.83; 249.83; 249.83; 249.83; 249.83; 249.83; 249.83; 249.83; 333.21; 333.21
6416; 148.98; 148.98; 84.23; 84.23; 80.06; 80.06; 24.73; 24.73; 0.00; 0.00; 80.06; 80.06; 120.02; 120.02; 126.01; 126.01; 126.01; 126.01; 151.20; 151.20; 235.21; 235.21; 0.00; 0.00; 222.58; 222.58; 198.15; 198.15; 336.90; 336.90; 198.16; 198.16; 198.16; 198.16; 198.16; 198.16; 379.86; 379.86; 379.86; 379.86; 396.16; 396.16
6517; 145.75; 145.75; 97.44; 97.44; 90.96; 90.96; 90.96; 90.96; 90.96; 90.96; 90.96; 90.96; 114.56; 114.56; 183.32; 183.32; 194.74; 194.74; 229.14; 229.14; 181.40; 181.40; 90.96; 90.96; 270.74; 270.74; 147.02; 147.02; 147.02; 147.02; 185.19; 185.19; 147.02; 147.02; 147.02; 147.02; 379.78; 379.78; 379.78; 379.78; 220.79; 220.79
6618; 145.08; 145.08; 102.37; 102.37; 87.34; 87.34; 87.34; 87.34; 87.34; 87.34; 87.34; 87.34; 109.98; 109.98; 227.18; 227.18; 215.36; 215.36; 394.35; 394.35; 306.45; 306.45; 87.34; 87.34; 266.18; 266.18; 266.18; 266.18; 266.18; 266.18; 169.58; 169.58; 169.58; 169.58; 169.58; 169.58; 956.00; 956.00; 568.62; 568.62; 376.48; 376.48
6769; 158.70; 158.70; 90.34; 90.34; 91.13; 91.13; 24.73; 24.73; 91.13; 91.13; 91.13; 91.13; 107.90; 107.90; 162.07; 162.07; 250.86; 250.86; 255.28; 255.28; 299.73; 299.73; 91.13; 91.13; 222.50; 222.50; 147.02; 266.18; 147.02; 266.18; 185.19; 169.58; 147.02; 169.58; 147.02; 169.58; 379.78; 956.00; 379.78; 568.62; 389.91; 389.91
6860; 176.42; 176.42; 101.70; 101.70; 92.15; 92.15; 92.15; 92.15; 92.15; 92.15; 92.15; 92.15; 245.33; 245.33; 388.54; 388.54; 396.02; 396.02; 498.13; 498.13; 546.70; 546.70; 92.15; 92.15; 235.40; 235.40; 338.77; 338.77; 338.77; 338.77; 235.40; 235.40; 183.10; 183.10; 232.91; 232.91; 956.00; 956.00; 379.86; 379.86; 309.13; 309.13
6985;151.71;151.71;89.98;89.98;94.07;94.07;94.07;94.07;94.07;94.07;94.07;94.07;191.65;191.65;289.21;289.21;289.21;289.21;390.65;390.65;409.94;409.94;0.00;0.00;421.62;421.62;305.13;305.13;511.33;511.33;305.13;305.13;305.12;305.12;231.37;231.37;956.00;956.00;421.62;421.62;419.58;419.58
7062; 170.72; 170.72; 101.78; 101.78; 88.29; 88.29; 24.73; 24.73; 0.00; 0.00; 95.49; 95.49; 162.49; 162.49; 194.99; 194.99; 266.80; 266.80; 396.10; 396.10; 180.89; 180.89; 88.30; 88.30; 492.03; 492.03; 283.99; 283.99; 336.83; 336.83; 236.53; 236.53; 236.53; 236.53; 236.53; 236.53; 956.00; 956.00; 629.94; 629.94; 600.42; 600.42
7214; 166.33; 166.33; 97.36; 97.36; 88.52; 88.52; 88.52; 88.52; 88.52; 88.52; 88.52; 88.52; 239.03; 239.03; 139.78; 139.78; 238.10; 238.10; 270.65; 270.65; 294.11; 294.11; 88.52; 88.52; 442.99; 442.99; 320.50; 320.50; 534.47; 534.47; 381.64; 381.64; 381.64; 381.64; 534.47; 534.47; 817.24; 817.24; 626.17; 626.17; 527.58; 527.58
7264; 132.92; 132.92; 22.00; 22.00; 92.91; 92.91; 49.20; 49.20; 49.20; 49.20; 49.20; 49.20; 148.90; 148.90; 181.57; 181.57; 255.89; 255.89; 519.48; 519.48; 286.51; 286.51; 0.00; 0.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00; 76.00
7466; 181.07; 181.07; 95.67; 95.67; 0.00; 92.79; 0.00; 0.00; 0.00; 92.79; 0.00; 92.79; 0.00; 177.41; 0.00; 274.59; 319.25; 319.25; 510.16; 510.16; 319.25; 319.25; 0.00; 92.79; 419.91; 419.91; 213.08; 213.08; 488.69; 488.69; 139.70; 139.70; 139.70; 139.70; 139.70; 139.70; 419.91; 419.91; 419.91; 419.91; 389.91; 389.91
7553; 144.35; 144.35; 94.18; 94.18; 0.00; 86.12; 0.00; 86.12; 0.00; 86.12; 0.00; 86.12; 0.00; 525.20; 0.00; 229.66; 0.00; 256.00; 0.00; 515.75; 282.37; 282.37; 0.00; 91.18; 384.70; 384.70; 213.03; 719.75; 213.03; 213.03; 192.14; 668.99; 192.14; 668.99; 324.49; 324.49; 384.78; 384.78; 384.70; 384.70; 302.61; 716.63
7618; 158.71; 158.90; 102.09; 102.37; 91.14; 91.68; 24.73; 24.73; 40.89; 40.89; 50.21; 91.68; 160.72; 160.74; 263.00; 263.74; 317.10; 316.49; 444.50; 444.60; 405.94; 405.67; 0.00; 91.18; 423.90; 365.97; 220.43; 220.43; 447.16; 446.49; 231.48; 230.47; 230.10; 230.47; 230.47; 230.10; 956.00; 956.00; 516.47; 519.33; 613.92; 613.92
7719; 149.68; 149.68; 90.77; 90.77; 93.32; 93.32; 93.32; 93.32; 93.32; 93.32; 91.04; 91.04; 203.09; 203.09; 172.72; 172.72; 285.15; 285.15; 316.53; 316.53; 335.36; 335.36; 93.32; 93.32; 319.81; 319.81; 279.18; 279.18; 279.18; 279.18; 279.18; 279.18; 279.18; 279.18; 279.18; 279.18; 380.74; 380.74; 380.74; 380.74; 558.22; 558.22
7810; 94.57; 153.79; 90.77; 90.77; 94.61; 94.61; 92.58; 92.58; 92.58; 92.58; 92.58; 92.58; 135.65; 135.65; 222.85; 222.85; 300.37; 300.37; 503.87; 503.87; 400.64; 400.64; 94.61; 94.61; 203.90; 203.90; 182.58; 182.58; 182.58; 182.58; 182.58; 182.58; 182.58; 182.58; 182.58; 182.58; 444.21; 444.21; 444.21; 444.21; 365.10; 365.10
8012; 130.83; 159.48; 92.66; 92.66; 61.12; 61.12; 0.00; 0.00; 63.79; 63.79; 63.79; 63.79; 98.73; 98.73; 182.27; 182.27; 197.45; 197.45; 303.78; 303.78; 286.40; 286.40; 93.04; 93.04; 259.28; 259.28; 186.75; 186.75; 396.78; 396.78; 148.57; 148.57; 148.57; 148.57; 163.07; 163.07; 620.15; 620.15; 620.15; 620.15; 297.07; 297.07
8163; 152.90; 152.90; 87.82; 87.82; 90.17; 90.17; 90.17; 90.17; 90.17; 90.17; 90.17; 90.17; 169.60; 169.60; 241.30; 241.30; 319.60; 319.60; 544.53; 544.53; 335.82; 335.82; 90.17; 90.17; 279.51; 279.51; 279.51; 279.51; 279.51; 279.51; 245.60; 245.60; 125.14; 125.14; 279.51; 279.51; 379.77; 379.77; 379.77; 379.77; 607.53; 607.53
8220; 198.43; 198.43; 101.82; 101.82; 78.42; 78.42; 78.42; 78.42; 78.42; 78.42; 78.42; 78.42; 219.50; 219.50; 219.50; 219.50; 219.50; 219.50; 315.48; 315.48; 219.50; 219.50; 78.42; 78.42; 956.00; 956.00; 330.15; 330.15; 956.00; 956.00; 330.15; 330.15; 330.15; 330.15; 458.26; 458.26; 956.00; 956.00; 956.00; 956.00; 660.12; 660.13
8264; 184.24; 184.24; 102.16; 102.16; 92.57; 92.57; 92.57; 92.57; 92.57; 92.57; 92.57; 92.57; 203.09; 203.09; 288.25; 288.25; 317.10; 317.10; 665.68; 665.68; 417.96; 417.96; 92.57; 92.57; 291.34; 291.34; 174.48; 174.48; 291.34; 291.34; 174.48; 174.48; 174.48; 174.48; 291.34; 291.34; 617.48; 617.48; 617.48; 617.48; 536.65; 536.65
9000; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00
