1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán. Amlodipina. Hidroclorotiazida. Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán. Amlodipina. Hidroclorotiazida. Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA. UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA. UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA. UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA. UNA REGIÓN. NO FONASA
62;411.083554285118;411.083554285118;189.660902935442;189.660902935442;172.425409243582;172.425409243582;0;0;172.425409243582;172.425409243582;178.103784976904;178.103784976904;434.463748098968;434.463748098968;968;968;799.567123183742;799.567123183742;968;968;799.567123183742;799.567123183742;172.425409243582;172.425409243582;1118;1118;997.764621152638;997.764621152638;1118;1118;714.675364091533;714.675364091533;714.675364091533;714.675364091533;714.675364091533;714.675364091533;1118;1118;1118;1118
264;356.801048216836;356.801048216836;190.858038079264;190.858038079264;173.818743175656;173.818743175656;173.818743175656;173.818743175656;173.818743175656;173.818743175656;179.61063274952;179.61063274952;392.359147989508;392.359147989508;508.383107345959;508.383107345959;712.87817994319;712.87817994319;789.768199747583;789.768199747583;508.383107345959;508.383107345959;173.818743175656;173.818743175656;920.83435606117;920.83435606117;904.413580540813;904.413580540813;1118;1118;663.988829040663;663.988829040663;663.988829040663;663.988829040663;663.988829040663;663.988829040663;1118;1118;1118;1118
769;421.780498535401;421.780498535401;178.513277983387;178.513277983387;174.195995931137;174.195995931137;174.195995931137;174.195995931137;174.195995931137;174.195995931137;179.643148752705;179.643148752705;455.133608293183;455.133608293183;738.181309258791;738.181309258791;738.181309258791;738.181309258791;968;968;738.181309258791;738.181309258791;174.195995931137;174.195995931137;1024.67897220964;1024.67897220964;792.37646948924;792.37646948924;1118;1118;792.368902688382;792.368902688382;792.368902688382;792.368902688382;1024.67897220964;1024.67897220964;1118;1118;1118;1118
1062;237.84920705;346.686224682332;189.512557344923;189.512557344923;0;174.560103755506;0;0;0;174.560103755506;0;178.822236688629;0;515.163453820439;637.118618563494;637.118618563494;726.302578083904;726.302578083904;915.371484266645;915.371484266645;0;0;0;174.560103755506;980.87507513898;980.87507513898;980.87507513898;980.87507513898;1118;1118;665.202882025908;665.202882025908;150;665.202882025908;665.202882025908;665.202882025908;1118;1118;1118;1118
1163;279.226892441259;298.489951489654;171.558634606351;171.558634606351;0;154.002206705076;0;0;0;154.002206705076;0;154.002206705076;0;305.191209902847;0;0;0;445.251510990834;0;603.22529911799;0;0;154.002206705076;154.002206705076;890.508332580428;890.508332580428;620.337183052341;620.337183052341;442.971698234345;442.971698234345;394.143081861953;394.143081861953;394.143081861953;394.143081861953;442.971698234345;442.971698234345;1118;1118;1118;1118
1210;406.585239385811;406.585239385811;191.126947238051;191.126947238051;173.611889976589;173.611889976589;173.611889976589;173.611889976589;173.611889976589;173.611889976589;179.589947429613;179.589947429613;525.220957749979;525.220957749979;315.394912415;315.394912415;594.103073039153;594.103073039153;705.493520736512;705.493520736512;779.540948720087;779.540948720087;0;0;1118;1118;729.58179477;729.58179477;1118;1118;633.043590460301;633.043590460301;633.043590460301;633.043590460301;1118;1118;1118;1118;1118;1118
2315;133.714142562568;329.37091142861;187.186020541296;187.186020541296;160.833226198629;160.833226198629;0;0;160.832718744874;160.832718744874;160.832718744874;160.832718744874;441.643443796939;441.643443796939;441.643443796939;441.643443796939;639.113018458046;639.113018458046;840.319773329241;840.319773329241;441.643443796939;441.643443796939;160.830642027636;160.830642027636;884.872336667523;884.872336667523;884.872336667523;884.872336667523;884.872336667523;884.872336667523;884.872336667523;884.872336667523;449.5035478966;449.5035478966;449.5035478966;449.5035478966;1118;1118;867.439892941278;867.439892941278
3567;394.229082064798;394.229082064798;202.78768;202.78768;0;174.993096656066;0;0;0;174.993096656066;0;174.993096656066;0;534.861526917696;0;717.044488064466;0;769.111757971917;0;968;0;748.806521210552;0;174.997806410336;1118;150;330.391924075;429.399245921858;330.391924075;1118;150;708.58637875942;150;708.58637875942;150;708.58637875942;330.391924075;1118;330.391924075;1118
4315;393.23313814497;393.23313814497;191.019415606173;191.019415606173;187.305571754797;187.305571754797;0;0;176.622952991504;176.622952991504;176.622952991504;176.622952991504;396.74443580972;396.74443580972;593.367907652888;593.367907652888;542.650762920122;542.650762920122;778.781062893002;778.781062893002;542.650762920122;542.650762920122;174.062940597647;174.062940597647;912.9632736;912.9632736;672.171431421802;672.171431421802;778.089053645794;778.089053645794;670.227032655;670.227032655;670.227032655;670.227032655;670.227032655;670.227032655;1118;1118;1118;1118
4810;186.25963783614;332.521695913356;175.20859058895;175.20859058895;0;173.802500364537;0;0;0;163.941847893498;0;163.941847893498;0;240.549585194538;0;430.493832413003;294.496899511104;589.00397389508;397.5636896;789.782659465116;0;240.549585194538;0;173.802500364537;383.3456824325;616.691364865;352.738415029552;555.484480565331;540.6678226;926.08082102002;352.738415029552;555.484480565331;346.873026921779;543.729052718607;518.174953349616;886.349030243614;531.2962263;912.9632736;531.2962263;912.9632736
