provider;captacion_rn;control_desarrollo;control_desarrollo_18;control_desarrollo_4;tamizaje_colorrectal;tamizaje_cuello;tamizaje_mama;indice_cesareas
62;99.01;-1;-1;-1;39.51;71.43;61.73
264;100;-1;-1;-1;36.27;70.23;59.69
769;99.31;-1;-1;-1;54.68;67.56;61.89
1062;100;-1;-1;-1;44.7;70.92;61.75
1163;100;-1;-1;-1;40.24;68.17;50.86
1210;100;-1;-1;-1;41.22;77.42;62.41
2315;100;-1;-1;-1;44.41;72.6;55.68
3567;100;-1;-1;-1;47.02;79.74;64.12
4315;99.63;-1;-1;-1;45.91;68.97;56.41
4810;100;-1;-1;-1;36.22;67.1;57.11
5012;100;-1;-1;-1;51.39;68.45;64.63
5163;98.59;-1;-1;-1;36.75;69;61.24
5315;100;-1;-1;-1;52.94;71.89;61.51
5517;99.13;-1;-1;-1;51.92;76.33;64.97
5810;100;-1;-1;-1;36.9;68.8;47.11
6012;100;-1;-1;-1;41.42;72.09;60.56
6062;100;-1;-1;-1;51.89;72.09;60.26
6416;100;-1;-1;-1;49.52;77.13;62.42
6517;100;-1;-1;-1;38.61;69.56;57.31
6618;100;-1;-1;-1;56.74;74.81;62.39
6769;100;-1;-1;-1;57.43;87;66.78
6860;100;-1;-1;-1;50.5;75.79;62.38
6985;98.91;-1;-1;-1;32.91;69.23;60.29
7062;99.41;-1;-1;-1;39.02;68.09;58.56
7214;100;-1;-1;-1;40;59.71;47.98
7264;100;-1;-1;-1;29.29;65.97;57.77
7466;100;-1;-1;-1;48.79;70.29;56.24
7553;100;-1;-1;-1;48.79;67.35;62.09
7618;100;-1;-1;-1;39.59;70.66;52.45
7719;100;-1;-1;-1;47.67;75;51.63
7810;99.33;-1;-1;-1;44.99;65.28;57.81
8012;100;-1;-1;-1;36.57;71.25;57.42
8163;100;-1;-1;-1;44.82;70.74;58.09
8264;100;-1;-1;-1;31.67;0;47.88
9000;89.09;-1;-1;-1;10.2;34.04;28.41
9502;100;-1;-1;-1;61.67;82.34;75.21
9508;96.15;-1;-1;-1;37.83;80.05;71.25
9516;100;-1;-1;-1;29.02;77.27;65.68
9518;100;-1;-1;-1;54;72.2;54.38
9526;100;-1;-1;-1;29.17;74.48;59.42
9532;100;-1;-1;-1;66.42;83.41;59.04
