linea;oid;nombre;alias;cerrada;regiongeo;departamento;localidad;urbanarural;coddepart;codloc;codsecc;codseg;codzona;cod1;cod2;coordx;coordy;latlong;calle;numpuerta;esquina;telefono;codregion;regionasse;depadmin;uedepende;uedependenom;nivelatencion;categoria;codcatsnomed;pertenecea;pertenecearap;sgc;sgcenua;hcea;hceo;obstetrapartera;medfamycom;medgeneral;pediatria;ginecoobstetricia;odontolog;espadolesc;horespado;vacunatorio;puertaemer;puertaurge;geosalud;maternidadbc;maternidadac;camactiadulto;camacetped;camaciadulto;camaciped;camacb;camacm;ctisic;resehgeosalud;hceintgeosalud;block;siq;medfarmacia;meddispensa;webfarma;sga farmacia;emedicamen;muestraslab;laboratorio;imradiologia;imecografo;immamografo;imtomografo;imrnm;ridi;telemedicina;LAT;LONG;geometry
281;2.16.858.0.0.2.1.1.5980384014005003095;POLICLINICA TAPIA;POL. ESTACION TAPIA;NO;SUR;CANELONES;ESTACION TAPIA;RURAL;3;840;14;5;3;384014005003095;3095;614443.519;6174061.382;-34.56884740222134, -55.752391495558534;RUTA 88  KM;7;VIA A MINAS;43999518;2;SUR;REGION SUR;57;RAP CANELONES;PRIMER NIVEL;POLICLINICA;35971002;ASSE;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO;SI;NO;NC;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;SI;SI;SI;S-D;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.5688474022213;-55.7523914955585;POINT (-55.752391495558534 -34.56884740222134)
282;2.16.858.0.0.2.1.1.5980388202223600096;PUESTO RURAL PASO PACHE;PUESTO RURAL PASO PACHE;NO;SUR;CANELONES;PASO DE PACHE;RURAL;3;882;2;223;600;388202223600096;3096;565505.16;6190262.61;-34.42704008,-56.28708858;RUTA 81 KM 10;S-D;S-D;43302098;2;SUR;REGION SUR;57;RAP CANELONES;PRIMER NIVEL;POLICLINICA;35971002;COMISION VECINAL;SI;SI;SI;SI;NO;SI;NO;SI;SI;NO;NO;NO;NC;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.42704008;-56.28708858;POINT (-56.28708858 -34.42704008)
284;2.16.858.0.0.2.1.1.5980390013007006098;POLICLINICA LA PALOMA;POL. LA PALOMA;NO;SUR;CANELONES;RURAL;RURAL;3;900;13;7;6;390013007006098;3098;579869.75;6181208.8;-34.50766886,-56.12992225;CNO. LA CAPILLA;S-D;RUTA 11 KM.113.500;S-D;2;SUR;REGION SUR;57;RAP CANELONES;PRIMER NIVEL;POLICLINICA;35971002;IGLESIA;SI;NO;SI;NO;NO;SI;NO;SI;SI;SI;NO;NO;NC;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.50766886;-56.12992225;POINT (-56.12992225 -34.50766886)
285;2.16.858.0.0.2.1.1.5980390004159205099;POLICLINICA RINCON DEL COLORADO;POL. RINCON DEL COLORADO;NO;SUR;CANELONES;RURAL;RURAL;3;900;4;159;205;390004159205099;3099;561030.419;6161459.463;-34.6870463103763, -56.3337177799516;RUTA 48 KM;KM. 8500;CNO. AMEGLIO;23677817;2;SUR;REGION SUR;57;RAP CANELONES;PRIMER NIVEL;POLICLINICA;35971002;COMODATO;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.6870463103763;-56.3337177799516;POINT (-56.3337177799516 -34.6870463103763)
286;2.16.858.0.0.2.1.1.5980392710007600100;POLICLINICA BOLIVAR;POL. BOLIVAR;NO;SUR;CANELONES;BOLIVAR;RURAL;3;927;10;7;600;392710007600100;3100;617107.665;6212404.467;-34.222842,-55.728594;INDEPENDENCIA;S-D;GRAL. ARTIGAS;43117179;2;SUR;REGION SUR;57;RAP CANELONES;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;SI;NO;NO;SI;SI;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;SI;SI;S-D;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.222842;-55.728594;POINT (-55.728594 -34.222842)
287;2.16.858.0.0.2.1.1.5980392908055004101;POLICLINICA CAPILLA CELLA;POL. CAPILLA CELLA;NO;SUR;CANELONES;CAPILLA DE CELLA;RURAL;3;929;8;55;4;392908055004101;3101;635624.52;6159405.05;-34.69839589,-55.51920245;RUTA 9  KM;S-D;RUTA 70;43772001;2;SUR;REGION SUR;57;RAP CANELONES;PRIMER NIVEL;POLICLINICA;35971002;COMUNIDAD;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.69839589;-55.51920245;POINT (-55.51920245 -34.69839589)
288;2.16.858.0.0.2.1.1.5980393508237035102;POLICLINICA CUCHILLA ALTA;POL. CUCHILLA ALTA;NO;SUR;CANELONES;CUCHILLA ALTA;RURAL;3;935;8;237;35;393508237035102;3102;637854.01;6148846.36;-34.79328104,-55.49313954;MONTEVIDEO;S-D;AVDA. AGUSTIN PONS;43788139;2;SUR;REGION SUR;57;RAP CANELONES;PRIMER NIVEL;POLICLINICA;35971002;S-D;SI;SI;SI;SI;NO;SI;SI;NO;SI;NO;NO;NO;NC;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;SI;SI;S-D;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.79328104;-55.49313954;POINT (-55.49313954 -34.79328104)
290;2.16.858.0.0.2.1.1.5980394608044603104;POLICLINICA JAUREGUIBERRY;POL. JAUREGUIBERRY;NO;SUR;CANELONES;JAUREGUIBERRY;RURAL;3;946;8;44;603;394608044603104;3104;646014.18;6149981.582;-34.78191102571566, -55.40416902713374;RUTA IB;KM 80;GRAL. JOSE GERVASIO ARTIGAS;43788139;2;SUR;REGION SUR;57;RAP CANELONES;PRIMER NIVEL;POLICLINICA;35971002;S-D;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.7819110257157;-55.4041690271337;POINT (-55.40416902713374 -34.78191102571566)
291;2.16.858.0.0.2.1.1.5980395337484022105;CONSULTORIO MONTES DE SOLYMAR;CONS. MONTES DE SOLYMAR;NO;SUR;CANELONES;MONTES DE SOLYMAR;URBANA;3;953;37;484;22;395337484022105;3105;595856.22;6146917.51;-34.81548980,-55.95190777;DE LOS COLIBRIES (M 118  S 10);S/N;DE LOS PICAFLORES;26884506;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;POLICLINICA;35971002;NO PERTENECE A ASSE;SI;SI;SI;NO;NO;NC;NC;NC;NC;NC;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.8154898;-55.95190777;POINT (-55.95190777 -34.8154898)
293;2.16.858.0.0.2.1.1.5980396908006002107;POLICLINICA PIEDRAS DE AFILAR;POL. PIEDRAS DE AFILAR;NO;SUR;CANELONES;ESTACION PIEDRAS DE AFILAR;RURAL;3;969;8;6;2;396908006002107;3107;635571.853;6154568.894;-34.742,-55.519;C.1;S-D;C.2;NO;2;SUR;REGION SUR;57;RAP CANELONES;PRIMER NIVEL;POLICLINICA;35971002;COMUNIDAD;SI;SI;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.742;-55.519;POINT (-55.519 -34.742)
294;2.16.858.0.0.2.1.1.5980398737285020108;POLICLINICA COLINAS DE SOLYMAR;POL. COLINAS DE SOLYMAR;NO;SUR;CANELONES;COLINAS DE SOLYMAR;RURAL;3;987;37;285;20;398737285020108;3108;595451.486;6148503.029;-34.8012324708118, -55.95651266355129;ACONCAGUA;S-D;PIRINEOS;99713668;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;POLICLINICA;35971002;NO PERTENECE A ASSE;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.8012324708118;-55.9565126635513;POINT (-55.95651266355129 -34.8012324708118)
295;2.16.858.0.0.2.1.1.5980398937098013109;CONSULTORIOS VILLA EL TATO;CONS. VILLA EL TATO;NO;SUR;CANELONES;VILLA EL TATO;RURAL;3;989;37;98;13;398937098013109;3109;593979.67;6151721.321;-34.772352252281955, -55.972960221391034;C.1;S-D;C.8;S-D;2;SUR;REGION SUR;57;RAP CANELONES;PRIMER NIVEL;POLICLINICA;35971002;S-D;SI;SI;SI;SI;NO;NO;NO;SI;SI;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.772352252282;-55.972960221391;POINT (-55.972960221391034 -34.772352252281955)
296;2.16.858.0.0.2.1.1.5980422001010014001;CENTRO DE SALUD MELO;C. S. MELO;NO;ESTE;CERRO LARGO;MELO;URBANA;4;220;1;10;14;422001010014001;4001;766891.97;6415218.69;-32.36814309,-54.16351547;COLON;S-D;F. MATA;46432472;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;CENTRO DE SALUD;264361005;ASSE;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI;SI;SI;LUNES MARTES JUEVES Y VIERNES;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;SI;SI;S-D;SI;NO;NO;NO;SI;NO;NO;NO;NO;SI;-32.36814309;-54.16351547;POINT (-54.16351547 -32.36814309)
297;2.16.858.0.0.2.1.1.5980422001026004002;CENTRO DEPARTAMENTAL CERRO LARGO;HOSPITAL CERRO LARGO;NO;ESTE;CERRO LARGO;MELO;URBANA;4;220;1;26;4;422001026004002;4002;766461.87;6414161.37;-32.37777253,-54.16778434;TREINTA Y TRES;26;LAVALLEJA;46422175;4;ESTE;REGION ESTE;17;CENTRO DEPARTAMENTAL CERRO LARGO;TERCER NIVEL;HOSPITAL;22232009;ASSE;NO;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI;NO;NC;NO;SI;NO;SI;SI;NO;SI;NO;NO;NO;NO;SI;SI;SI;SI;SI;SI;SI;SI;SI;S-D;SI;SI;SI;SI;SI;SI;NO;NO;SI;SI;-32.37777253;-54.16778434;POINT (-54.16778434 -32.37777253)
298;2.16.858.0.0.2.1.1.5980422001129600003;POLICLINICA BARRIO DIEGO LAMAS;POL. BARRIO DIEGO LAMAS;NO;ESTE;CERRO LARGO;MELO;URBANA;4;220;1;129;600;422001129600003;4003;767052.7;6412877.29;-32.38920106,-54.16114893;DIONISIO CORONEL;1192;RUFINO PEREZ;96451323;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;SI;NO;SI;SI;SI;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.38920106;-54.16114893;POINT (-54.16114893 -32.38920106)
299;2.16.858.0.0.2.1.1.5980422001332027004;POLICLINICA BARRIO FEDER;POL. BARRIO FEDER;NO;ESTE;CERRO LARGO;MELO;URBANA;4;220;1;332;27;422001332027004;4004;768762.08;6415449.76;-32.36561266,-54.14372685;TIMOTEO APARICIO;760;ESTANISLAO DE LA VEGA;46431370;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;SI;NO;SI;SI;NO;NO;NO;SI;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.36561266;-54.14372685;POINT (-54.14372685 -32.36561266)
300;2.16.858.0.0.2.1.1.5980422001131020005;POLICLINICA BARRIO MURGUIA;POL. BARRIO MURGUIA;NO;ESTE;CERRO LARGO;MELO;URBANA;4;220;1;131;20;422001131020005;4005;767576.24;6414368.13;-32.37564301,-54.15601063;PAYADORES;S-D;14 DE JULIO;94762164;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;SI;NO;SI;SI;SI;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.37564301;-54.15601063;POINT (-54.15601063 -32.37564301)
302;2.16.858.0.0.2.1.1.5980422001033004007;POLICLINICA BARRIO RUIZ;POL. BARRIO RUIZ;NO;ESTE;CERRO LARGO;MELO;URBANA;4;220;1;33;4;422001033004007;4007;767398.73;6416994.26;-32.35202368,-54.15863616;MINUANES;1086;VILLA DE MORO;95430624;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;COMISION VECINAL;SI;SI;SI;SI;NO;SI;SI;SI;SI;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.35202368;-54.15863616;POINT (-54.15863616 -32.35202368)
303;2.16.858.0.0.2.1.1.5980422001035015008;POLICLINICA BARRIO SONORA;POL. BARRIO SONORA;NO;ESTE;CERRO LARGO;MELO;URBANA;4;220;1;35;15;422001035015008;4008;764761.139;6415946.837;-32.362089487087474, -54.18634149833317;CAMINO DE LAS DILIGENCIAS;162;MAXIMO NAVARRETE;98959278;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;SI;NO;SI;NO;SI;SI;NO;SI;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.3620894870875;-54.1863414983332;POINT (-54.18634149833317 -32.362089487087474)
304;2.16.858.0.0.2.1.1.5980422001130019009;POLICLINICA BARRIO TRAMPOLIN;POL. BARRIO TRAMPOLIN;NO;ESTE;CERRO LARGO;MELO;URBANA;4;220;1;130;19;422001130019009;4009;768831.645;6414087.225;-32.37787240004755, -54.1426019741306;FRANCISCO OLIVERA;568;ANTONIO CAZAS;46421003;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;SI;NO;SI;NO;SI;SI;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.3778724000476;-54.1426019741306;POINT (-54.1426019741306 -32.37787240004755)
305;2.16.858.0.0.2.1.1.5980422001229022010;POLICLINICA CENTRO PROMOCION;POL. CENTRO PROMOCION;NO;ESTE;CERRO LARGO;MELO;URBANA;4;220;1;229;22;422001229022010;4010;767505.15;6413807.61;-32.38071037,-54.15660713;RUTA 8  KM 1 (EN CENTRO RELIGIOSO);S-D;IGNACIO ORIBE;46422914;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;IGLESIA;SI;NO;SI;NO;NO;NO;NO;SI;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.38071037;-54.15660713;POINT (-54.15660713 -32.38071037)
306;2.16.858.0.0.2.1.1.5980422001230814011;POLICLINICA COLLAZO;POL. COLLAZO;NO;ESTE;CERRO LARGO;MELO;URBANA;4;220;1;230;814;422001230814011;4011;768336.35;6413781.07;-32.38075003,-54.14777395;25 DE AGOSTO;1764;LA REDOTA;94785827;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;SI;NO;SI;SI;SI;SI;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.38075003;-54.14777395;POINT (-54.14777395 -32.38075003)
307;2.16.858.0.0.2.1.1.5980452106002026013;POLICLINICA FRAILE MUERTO;POL. FRAILE MUERTO;NO;ESTE;CERRO LARGO;FRAILE MUERTO;RURAL;4;521;6;2;26;452106002026013;4013;732804.401;6400091.266;-32.51211069728871, -54.52175037051623;AVDA. BLANCA CASTRO DE ARGENCIO;S-D;GRAL. ARTIGAS;46889012;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;ASSE;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;SI;SI;S-D;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.5121106972887;-54.5217503705162;POINT (-54.52175037051623 -32.51211069728871)
308;2.16.858.0.0.2.1.1.5980452107002005014;POLICLINICA WENCISLAO SILVEIRA;POL. WENCISLAO SILVEIRA;NO;ESTE;CERRO LARGO;FRAILE MUERTO;RURAL;4;521;7;2;5;452107002005014;4014;731126.962;6399441.043;-32.5183213982754, -54.539433049666094;RAMON NOGUES;S-D;RÍO NEGRO;46889230;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;SI;NO;NO;NO;SI;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.5183213982754;-54.5394330496661;POINT (-54.539433049666094 -32.5183213982754)
309;2.16.858.0.0.2.1.1.5980452203102019015;CENTRO AUXILIAR RIO BRANCO;HOSPITAL RIO BRANCO;NO;ESTE;CERRO LARGO;RIO BRANCO;URBANA;4;522;3;102;19;452203102019015;4015;839774.59;6388001.31;-32.59339864,-53.38030721;ISMAEL VELAZQUEZ;1131;JOAQUIN DE PAZ;46752038;4;ESTE;REGION ESTE;52;CENTRO AUXILIAR RIO BRANCO;SEGUNDO NIVEL;HOSPITAL;22232009;ASSE;NO;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI;NO;NC;NO;SI;NO;SI;NO;NO;NO;NO;NO;NO;NO;SI;NO;SI;NO;SI;SI;SI;SI;SI;S-D;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;-32.59339864;-53.38030721;POINT (-53.38030721 -32.59339864)
310;2.16.858.0.0.2.1.1.5980452203207028016;POLICLINICA TRES BARRIOS;POL. TRES BARRIOS;NO;ESTE;CERRO LARGO;RIO BRANCO;URBANA;4;522;3;207;28;452203207028016;4016;839055.204;6387063.925;-32.60205847038843, -53.38761926005082;EL EXODO;S-D;BATALLA DE SAN JOSÉ;S-D;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;COMISION VECINAL;SI;SI;SI;SI;NO;SI;SI;SI;NO;SI;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.6020584703884;-53.3876192600508;POINT (-53.38761926005082 -32.60205847038843)
311;2.16.858.0.0.2.1.1.5980462108004601017;POLICLINICA TUPAMBAE;POL. TUPAMBAE;NO;ESTE;CERRO LARGO;TUPAMBAE;RURAL;4;621;8;4;601;462108004601017;4017;709727.164;6364570.172;-32.836895084243494, -54.75925916947913;CONTINUACION RUTA 7;S-D;AVDA. GRAL. ARTIGAS;46852310;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;ASSE;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;SI;SI;S-D;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.8368950842435;-54.7592591694791;POINT (-54.75925916947913 -32.836895084243494)
312;2.16.858.0.0.2.1.1.5980472105201022018;POLICLINICA ISIDORO NOBLIA;POL. NOBLIA;NO;ESTE;CERRO LARGO;ISIDORO NOBLIA;RURAL;4;721;5;201;22;472105201022018;4018;771916.56;6460382.463;-31.960,-54.123;JUANA DE IBARBOUROU;S-D;GRAL. F. RIVERA;46409144;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;ASSE;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;SI;SI;S-D;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;-31.96;-54.123;POINT (-54.123 -31.96)
313;2.16.858.0.0.2.1.1.5980482105102027019;POLICLINICA ACEGUA;POL. ACEGUA;NO;ESTE;CERRO LARGO;ACEGUA;RURAL;4;821;5;102;27;482105102027019;4019;768411.712;6469653.889;-31.877291543635955, -54.16261154505352;MARIA ISABEL RODRIGUEZ MATTOS;776;24 DE ABRIL;46409201;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;ASSE;SI;SI;SI;SI;NO;SI;NO;SI;SI;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;SI;SI;S-D;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;-31.877291543636;-54.1626115450535;POINT (-54.16261154505352 -31.877291543635955)
314;2.16.858.0.0.2.1.1.5980482211001011020;POLICLINICA BANADO DE MEDINA;POL. BANADO DE MEDINA;NO;ESTE;CERRO LARGO;BANADO DE MEDINA;RURAL;4;822;11;1;11;482211001011020;4020;749241.027;6411692.41;-32.404,-54.350;RUTA 7  KM 302;S-D;A 20KM DE FRAILE MUERTO;46402210;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;ASSE;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.404;-54.35;POINT (-54.35 -32.404)
315;2.16.858.0.0.2.1.1.5980482407004408021;POLICLINICA CERRO DE LAS CUENTAS;POL. CERRO DE LAS CUENTAS;NO;ESTE;CERRO LARGO;CERRO DE LAS CUENTAS;RURAL;4;824;7;4;408;482407004408021;4021;725902.698;6387956.328;-32.62290871845073, -54.59224200403032;RUTA 7  KM 339;S-D;7A SECCIONAL;46808150;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;NO;NO;NO;NO;SI;SI;SI;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.6229087184507;-54.5922420040303;POINT (-54.59224200403032 -32.62290871845073)
317;2.16.858.0.0.2.1.1.5980482511002602023;POLICLINICA BARRIO HIPODROMO;POL. BARRIO HIPODROMO;NO;ESTE;CERRO LARGO;HIPODROMO;RURAL;4;825;11;2;602;482511002602023;4023;764269.76;6415158.23;-32.36931147,-54.19133800;ROMEO POGGIOLA;S-D;RAMON DA SILVEIRA;95072725;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.36931147;-54.191338;POINT (-54.191338 -32.36931147)
318;2.16.858.0.0.2.1.1.5980482702201015024;POLICLINICA PLACIDO ROSAS;POL. PLACIDO ROSAS;NO;ESTE;CERRO LARGO;PLACIDO ROSAS;RURAL;4;827;2;201;15;482702201015024;4024;807401.513;6370775.055;-32.758,-53.719;RUTA 18 KM;372;PUEBLO PL. ROSAS;S-D;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;ASSE;SI;SI;SI;SI;NO;NO;NO;SI;NO;NO;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.758;-53.719;POINT (-53.719 -32.758)
319;2.16.858.0.0.2.1.1.5980482907005006025;POLICLINICA TRES ISLAS;POL. TRES ISLAS;NO;ESTE;CERRO LARGO;TRES ISLAS;RURAL;4;829;7;5;6;482907005006025;4025;717373.926;6400561.533;-32.511,-54.686;RUTA 7  KM 346;S-D;CAMINO VECINAL 16KM;46808146;4;ESTE;REGION ESTE;80;RAP CERRO LARGO;PRIMER NIVEL;POLICLINICA;35971002;INTENDENCIA;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-32.511;-54.686;POINT (-54.686 -32.511)
