linea;oid;nombre;alias;cerrada;regiongeo;departamento;localidad;urbanarural;coddepart;codloc;codsecc;codseg;codzona;cod1;cod2;coordx;coordy;latlong;calle;numpuerta;esquina;telefono;codregion;regionasse;depadmin;uedepende;uedependenom;nivelatencion;categoria;codcatsnomed;pertenecea;pertenecearap;sgc;sgcenua;hcea;hceo;obstetrapartera;medfamycom;medgeneral;pediatria;ginecoobstetricia;odontolog;espadolesc;horespado;vacunatorio;puertaemer;puertaurge;geosalud;maternidadbc;maternidadac;camactiadulto;camacetped;camaciadulto;camaciped;camacb;camacm;ctisic;resehgeosalud;hceintgeosalud;block;siq;medfarmacia;meddispensa;webfarma;sga farmacia;emedicamen;muestraslab;laboratorio;imradiologia;imecografo;immamografo;imtomografo;imrnm;ridi;telemedicina;LAT;LONG;geometry
60;2.16.858.0.0.2.1.1.5980102009054003060;"HOSPITAL ESPECIALIZADO DE OJOS ""JOSE MARTI""";HOSPITAL DE OJOS;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;9;54;3;102009054003060;1060;569460.38;6150192.03;-34.78810736,-56.24076404;FAUQUET;6358;GUANAHANY;23228080;2;SUR;REGION SUR;88;"HOSPITAL ESPECIALIZADO DE OJOS ""JOSE MARTI""";SEGUNDO NIVEL;HOSPITAL;22232009;ASSE;NO;SI;SI;SI;NO;NC;NC;NC;NC;NC;NO;NO;NC;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;SI;SI;SI;SI;SI;S-D;SI;SI;NO;NO;NO;NO;NO;NO;NO;NO;-34.78810736;-56.24076404;POINT (-56.24076404 -34.78810736)
61;2.16.858.0.0.2.1.1.5980102012125011061;HOSPITAL ESPANOL;HOSPITAL ESPANOL;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;12;125;11;102012125011061;1061;574788.76;6140473.07;-34.87536380,-56.18166065;GARIBALDI;1729;ROCHA;22097899;2;SUR;REGION SUR;76;HOSPITAL ESPANOL;TERCER NIVEL;HOSPITAL;22232009;ASSE;NO;SI;SI;SI;NO;NO;NO;NO;NO;NO;NO;NO;NC;NO;SI;NO;SI;NO;NO;SI;NO;SI;NO;NO;SI;SI;NO;SI;SI;SI;SI;SI;SI;S-D;NO;SI;SI;SI;SI;NO;SI;NO;SI;SI;-34.8753638;-56.18166065;POINT (-56.18166065 -34.8753638)
62;2.16.858.0.0.2.1.1.5980102002001011062;HOSPITAL MACIEL;HOSPITAL MACIEL;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;2;1;11;102002001011062;1062;571987.483;6136876.013;-34.908,-56.212;25 DE MAYO;174;MACIEL;29153000;2;SUR;REGION SUR;5;HOSPITAL MACIEL;TERCER NIVEL;HOSPITAL;22232009;ASSE;NO;SI;SI;SI;SI;NO;NO;SI;NO;NO;SI;NO;NC;SI;SI;NO;SI;NO;NO;SI;NO;SI;NO;NO;SI;SI;NO;SI;SI;SI;SI;SI;SI;S-D;NO;SI;SI;SI;SI;SI;SI;NO;SI;SI;-34.908;-56.212;POINT (-56.212 -34.908)
63;2.16.858.0.0.2.1.1.5980102010006001063;HOSPITAL PASTEUR;HOSPITAL PASTEUR;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;10;6;1;102010006001063;1063;578756.034;6140511.721;-34.87471540704519,-56.138258586489734;LARRAVIDE;2465;ASILO;25088131;2;SUR;REGION SUR;6;HOSPITAL PASTEUR;TERCER NIVEL;HOSPITAL;22232009;ASSE;NO;SI;SI;SI;NO;NO;NO;SI;NO;NO;SI;NO;NC;SI;SI;NO;SI;NO;NO;SI;NO;SI;NO;NO;SI;SI;SI;SI;SI;SI;SI;SI;SI;S-D;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;-34.8747154070452;-56.1382585864897;POINT (-56.138258586489734 -34.87471540704519)
64;2.16.858.0.0.2.1.1.5980102018129001064;HOSPITAL PEDIATRICO;CHPR PEDIATRICO;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;18;129;1;102018129001064;1064;576360.49;6137853.15;-34.89886976,-56.16422520;BVAR. ARTIGAS;1550;FRANCISCO CANARO;27095212;2;SUR;REGION SUR;4;CENTRO HOSPITALARIO PEREIRA ROSSELL;TERCER NIVEL;HOSPITAL;22232009;ASSE;NO;SI;SI;SI;NO;NO;NO;NO;SI;NO;SI;NO;NC;NO;SI;NO;SI;NO;NO;NO;SI;NO;SI;NO;SI;NO;SI;SI;SI;SI;SI;SI;SI;S-D;NO;SI;SI;SI;SI;NO;SI;SI;SI;SI;-34.89886976;-56.1642252;POINT (-56.1642252 -34.89886976)
66;2.16.858.0.0.2.1.1.5980102009054003066;HOSPITAL SAINT BOIS;HOSPITAL SAINT BOIS;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;9;54;3;102009054003066;1066;569353.06;6150161.63;-34.78838880,-56.24193441;FAUQUET;6358;GUANAHANY;23228080;2;SUR;REGION SUR;12;CENTRO HOSPITALARIO DEL NORTE GUSTAVO SAINT BOIS;SEGUNDO NIVEL;HOSPITAL;22232009;ASSE;NO;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI;NO;NC;SI;SI;NO;SI;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;SI;SI;SI;SI;SI;SI;S-D;SI;SI;SI;SI;SI;SI;NO;NO;SI;SI;-34.7883888;-56.24193441;POINT (-56.24193441 -34.7883888)
67;2.16.858.0.0.2.1.1.5980102012228013067;HOSPITAL VILARDEBO;HOSPITAL VILARDEBO;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;12;228;13;102012228013067;1067;574214.68;6140028.29;-34.87941639,-56.18790221;MILLAN;2515;CONCEPCION ARENAL;22034641;2;SUR;SALUD MENTAL;68;ASSE CENTRAL;SEGUNDO NIVEL;HOSPITAL;22232009;ASSE;NO;SI;SI;SI;NO;NC;NC;NC;NC;NC;SI;NO;NC;NO;SI;NO;SI;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;SI;SI;SI;S-D;NO;SI;SI;SI;NO;NO;NO;NO;NO;NO;-34.87941639;-56.18790221;POINT (-56.18790221 -34.87941639)
68;2.16.858.0.0.2.1.1.5980102024126602069;INSTITUTO NACIONAL DE REUMATOLOGIA;INRU;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;24;126;602;102024126602069;1069;577544.652;6138774.17;-34.89047546572966,-56.15135107804432;AVDA. ITALIA;S/N;LAS HERAS;24874933;2;SUR;REGION SUR;10;INSTITUTO NACIONAL DE REUMATOLOGIA;SEGUNDO NIVEL;HOSPITAL;22232009;ASSE;NO;SI;SI;SI;NO;NC;NC;NC;NC;NC;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;SI;SI;SI;SI;S-D;SI;SI;SI;SI;NO;NO;NO;NO;SI;SI;-34.8904754657297;-56.1513510780443;POINT (-56.15135107804432 -34.89047546572966)
69;2.16.858.0.0.2.1.1.5980102010101602070;INSTITUTO NACIONAL DEL CANCER;INCA;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;10;101;602;102010101602070;1070;577584.56;6139959.06;-34.87978872,-56.15102424;JOANICO;3265;AGUSTIN ABREU;24875098;2;SUR;REGION SUR;8;INSTITUTO NACIONAL DEL CANCER;SEGUNDO NIVEL;HOSPITAL;22232009;ASSE;NO;SI;SI;SI;SI;NC;NC;NC;NC;NC;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO;SI;NO;SI;SI;SI;SI;SI;S-D;NO;SI;SI;SI;SI;SI;SI;NO;SI;SI;-34.87978872;-56.15102424;POINT (-56.15102424 -34.87978872)
70;2.16.858.0.0.2.1.1.5980102017125007071;INTERIN CASAVALLE;INTERIN CASAVALLE;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;17;125;7;102017125007071;1071;576068.881;6144273.655;-34.841,-56.168;ENRIQUE AMORIN;S-D;E. SUAREZ PELODURO;2215 9749;2;SUR;SALUD MENTAL;68;ASSE CENTRAL;PRIMER NIVEL;POLICLINICA;35971002;S-D;NO;NO;NO;NO;NO;NC;NC;NC;NC;NC;NO;NO;NC;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;S-D;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.841;-56.168;POINT (-56.168 -34.841)
