id;desc;coddepto;departamen;codloc;localidad;idcalle;calle;calle_nro;km;idesq1;esquina;idesq2;esq2;manzana;solar;tel1;tel2;tel3;observacio;direccion;fechaactua;telefono;desydepto;tipo;correo;web;fax;horario;x;y;lon;lat;nombre;id2
126249;CENTRO AUXILIAR JUAN LACAZE;5;COLONIA;5323;JUAN LACAZE;;ZORRILLA DE SAN MARTIN;515;;;LAVALLEJA;;;;;;;;ZORRILLA DE SAN MARTIN 515 esquina JUAN ANTONIO LAVALLEJA;;14-03-2026;45862814;;;;;;;459767.034532958;6189756.29820529;-57.4379;-34.4329;CENTRO AUXILIAR JUAN LACAZE;
126254;HOSPITAL DE ROSARIO;5;COLONIA;5422;ROSARIO;;DR. MARTINEZ DIEZ;;;;JOSE M GARAT;;;;;;;;MARTINEZ DIEZ esquina JOSE M GARAT;;14-03-2026;45522210;;;;;;;467163.877085117;6202648.21399676;-57.3569;-34.3169;CENTRO AUXILIAR ROSARIO;
126278;HOSPITAL DE DURAZNO;6;DURAZNO;6020;DURAZNO;;DR. MIGUEL C RUBINO;;;;FRANCISCO ANTONIO MACIEL;;;;;;;;MIGUEL C RUBINO esquina FRANCISCO ANTONIO MACIEL;;14-03-2026;43627802;;;;;;;545014.594622242;6305604.45457298;-56.516;-33.3879;CENTRO DEPARTAMENTAL DURAZNO;
126315;HOSPITAL DE FLORES;7;FLORES;7320;TRINIDAD;;;834;;;MANUEL SANCHEZ ECHEVERRIA;;;;;;;;JOSE BATLLE Y ORDONEZ 834 esquina MANUEL SANCHEZ ECHEVERRIA;;14-03-2026;43644555;;;;;;;509657.414441603;6290615.07711956;-56.896;-33.524;CENTRO DEPARTAMENTAL FLORES;
126327;HOSPITAL DE FLORIDA;8;FLORIDA;8220;FLORIDA;;DR. BALTASAR BRUM;414;;;JUAN ANTONIO LAVALLEJA;;;;;;;;BALTASAR BRUM 414 esquina JUAN ANTONIO LAVALLEJA;;14-03-2026;43522021;;;;;;;572972.462904919;6226595.65878938;-56.2089;-34.0989;CENTRO DEPARTAMENTAL FLORIDA;
126360;HOSPITAL LAVALLEJA;9;LAVALLEJA;9220;MINAS;;JOSE PEDRO VARELA;1185;;;DR. JULIO CASAS ARAUJO;;;;;;;;JOSE PEDRO VARELA 1185 esquina J CASAS ARAUJO;;14-03-2026;44422483;;;;;;;663134.138723018;6195624.77240389;-55.2259;-34.3679;CENTRO DEPARTAMENTAL LAVALLEJA;
126385;HOSPITAL MALDONADO;10;MALDONADO;10020;MALDONADO;;VENTURA ALEGRE;;;;LAS DALIAS;;;;;;;;VENTURA ALEGRE esquina LAS DALIAS;;14-03-2026;42225889;;;;;;;685840.819775973;6135504.0231352;-54.9659;-34.9059;CENTRO DEPARTAMENTAL MALDONADO;
126389;HOSPITAL DE SAN CARLOS;10;MALDONADO;10321;SAN CARLOS;;DR. ANDRES CEBERIO;519;;;HERACLIO FAJARDO;;;;;;;;ANDRES CEBERIO 519 esquina HERACLIO FAJARDO;;14-03-2026;42669043;;;;;;;690114.376656334;6147622.51384944;-54.9219;-34.7959;CENTRO AUXILIAR SAN CARLOS;
126410;HOSPITAL DE PAYSANDU;11;PAYSANDU;11120;PAYSANDU;;MONTECASEROS;520;;;AVDA. SORIANO;;;;;;;;MONTECASEROS 520 esquina SORIANO;;14-03-2026;47224836;;;;;;;398263.394603664;6422926.62808362;-58.0809;-32.3259;CENTRO DEPARTAMENTAL PAYSANDU;
126469;HOSPITAL DE RIO NEGRO;12;RIO NEGRO;12320;FRAY BENTOS;;ETCHEVERRIA;;;;LIBERTADOR JUAN ANTONIO LAVALLEJA;;;;;;;;ETCHEVERRIA esquina JUAN ANTONIO LAVALLEJA;;14-03-2026;45623512;;;;;;;378345.137730388;6334775.19208281;-58.304;-33.1189;CENTRO DEPARTAMENTAL RIO NEGRO;
126475;HOSPITAL DE YOUNG;12;RIO NEGRO;12421;YOUNG;;DR. ZEMIRAMIDES ZEBALLOS;;;;DR. JOSE MARTIRENE;;;;;;;;ZEMIRAMIDES ZEBALLOS esquina MARTIRENE;;14-03-2026;45672912;;;;;;;440864.145262281;6381905.24892587;-57.6309;-32.699;CENTRO AUXILIAR YOUNG;
126496;HOSPITAL DE RIVERA;13;RIVERA;13020;RIVERA;;PTE. FELICIANO ALBERTO VIERA;;;;ITUZAINGO;;;;;;;;VIERA esquina ITUZAINGO;;14-03-2026;46223307;;;;;;;639148.534667011;6579685.5563163;-55.5439;-30.908;CENTRO DEPARTAMENTAL RIVERA;
126527;HOSPITAL DE ROCHA;14;ROCHA;14320;ROCHA;;;;;;TREINTA Y TRES;;;;;;;;AVDA MARTINEZ esquina TREINTA Y TRES;;14-03-2026;44722608;;;;;;;744399.708739667;6181861.04035516;-54.3389;-34.4759;CENTRO DEPARTAMENTAL DE ROCHA;
126534;HOSPITAL DE CASTILLOS;14;ROCHA;14421;CASTILLOS;;19 DE ABRIL;1561;;;NU�EZ;;;;;;;;19 DE ABRIL 1561 esquina NUNEZ;;14-03-2026;44759001;;;;;;;789914.081418728;6211424.5236832;-53.8539;-34.1979;CENTRO AUXILIAR CASTILLOS;
126537;HOSPITAL CHUY;14;ROCHA;14521;CHUY;;SANTA TERESA;;;;RIO CEBOLLATI;;;;;;;;SANTA TERESA esquina RIO CEBOLLATI;;14-03-2026;44745792;;;;;;;827872.136717579;6265609.17403432;-53.4629;-33.6989;CENTRO AUXILIAR CHUY;
126556;HOSPITAL DE SALTO;15;SALTO;15120;SALTO;;CERVANTES SAAVEDRA;;;;18 DE JULIO;;;;;;;;CERVANTES esquina 18 DE JULIO;;14-03-2026;47332944  47321024;;;;;;;408538.46413291;6526442.47921635;-57.962;-31.393;CENTRO DEPARTAMENTAL SALTO;
126603;HOSPITAL DE SAN JOSE;16;SAN JOSE;16220;SAN JOSE DE MAYO;;CAP. EUSEBIO VIDAL;;;;MONS. RICARDO DI MARTINO;;;;;;;;VIDAL esquina RICARDO DI MARTINO;;14-03-2026;43423621;;;;;;;527041.0471547;6199894.63328653;-56.706;-34.3419;CENTRO DEPARTAMENTAL SAN JOSE;
126640;HOSPITAL DE SORIANO;17;SORIANO;17220;MERCEDES;;FLORENCIO SANCHEZ;204;;;LUIS BERNARDO POZZOLO;;;;;;;;FLORENCIO SANCHEZ 204 esquina RINCON;;14-03-2026;45322177;;;;;;;403039.78140419;6320181.90497062;-58.0409;-33.253;CENTRO DEPARTAMENTAL DE SORIANO;
126646;CENTRO AUXILIAR DOLORES;17;SORIANO;17321;DOLORES;;ANDRES CHEVESTE;;;;CARLOS P PUIG;;;;;;;;ANDRES CHEVESTE esquina CARLOS P PUIG;;14-03-2026;45342191;;;;;;;387370.672459334;6288863.62662126;-58.213;-33.5339;CENTRO AUXILIAR DOLORES;
126648;CENTRO AUXILIAR CARDONA;17;SORIANO;17521;CARDONA;;ROGELIO SOSA;;;;M PACHECO Y OBES;;;;;;;;ROGELIO SOSA esquina MELCHOR PACHECO Y OBES;;14-03-2026;45369221;;;;;;;465593.869089575;6252306.64120271;-57.372;-33.869;CENTRO AUXILIAR CARDONA;
126669;HOSPITAL DE TACUAREMBO;18;TACUAREMBO;18020;TACUAREMBO;;33 ORIENTALES;444;;;PBRO. JAIME ROS;;;;;;;;TREINTA Y TRES 444 esquina JAIME ROSS;;14-03-2026;46322955;;;;;;;596164.749288855;6490162.72436512;-55.985;-31.7199;CENTRO DEPARTAMENTAL TACUAREMBO;
126686;HOSPITAL PASO DE LOS TOROS;18;TACUAREMBO;18321;PASO DE LOS TOROS;;MARUJA YEREGUI DE LAURENTI;;;;EMILIA GRASSI;;;;;;;;MARUJA YEREGUI esquina EMILIA GRASSI;;14-03-2026;46644948;;;;;;;546805.449559745;6369122.27735233;-56.5;-32.8149;CENTRO AUXILIAR PASO DE LOS TOROS;
126751;HOSPITAL TREINTA Y TRES;19;TREINTA Y TRES;19220;TREINTA Y TRES;;JOSE ENRIQUE RODO;;;;DR. MANUEL CACHEIRO;;;;;;;;JOSE ENRIQUE RODO esquina M CACHEIRO;;14-03-2026;44522002;;;;;;;744339.973261292;6320049.72901812;-54.3779;-33.2309;CENTRO DEPARTAMENTAL TREINTA Y TRES;
