id;descripcio;coddepto;departamen;codloc;localidad;idcalle;calle;nro;km;idesq1;esquina;idesq2;esq2;manzana;solar;tel1;tel2;tel3;observacio;direccion;fechaactua;telefono;desydepto;tipo;correo;web;fax;horario;x;y;lon;lat;nombre;id2
126689;POL LOS ARENALES;18;TACUAREMBO;18321;PASO DE LOS TOROS;;ERNESTO PEREZ;;;;APARICIO SARAVIA;;;;;;;;ERNESTO PEREZ esquina APARICIO SARAVIA;;14-03-2026;46642497;;;;;;;544290.218511785;6369787.93030181;-56.5269;-32.809;POLICLINICA LOS ARENALES;
126690;POL PLAZA DE DEPORTES;18;TACUAREMBO;18321;PASO DE LOS TOROS;;BALTASAR BRUM;;;;PAULA BERMUDEZ DE GODOY;;;;;;;;BALTASAR BRUM esquina PAULA BERMUDEZ DE GODOY;;14-03-2026;46643493;;;;;;;545227.461566095;6370016.49989754;-56.5169;-32.8069;POLICLINICA PLAZA DE DEPORTES;
126693;POL TAMBORES;18;TACUAREMBO;18695;TAMBORES;;;;;;;;;;;;;;AVDA ARTIGAS;;14-03-2026;46308099;;;;;;;571319.087316923;6473515.28711032;-56.246;-31.8719;POLICLINICA TAMBORES;
126694;POL ACHAR;18;TACUAREMBO;18721;ACHAR;;;;;;;;;;;;;;CALLE 7 esquina CALLE 2;;14-03-2026;46604214;;;;;;;576934.289930627;6414488.17419313;-56.1819;-32.404;POLICLINICA ACHAR;
126695;POL VILLA ANSINA;18;TACUAREMBO;18722;ANSINA;;;;289;;;;;;;;;;RUTA 26  KM 289;;14-03-2026;46309161;;;;;;;644915.586665006;6472174.43854536;-55.4679;-31.877;POLICLINICA VILLA ANSINA;
126696;POL CURTINA;18;TACUAREMBO;18723;CURTINA;;;;;;;;;;;;;;H GUTIERREZ RUIZ;;14-03-2026;46308129;;;;;;;583268.622945658;6442496.51658369;-56.117;-32.1509;POLICLINICA CURTINA;
126697;POL PASO DEL CERRO;18;TACUAREMBO;18724;PASO DEL CERRO;;;;;;;;;;;;;;CALLE 1 esquina CALLE 4;;14-03-2026;46302242;;;;;;;610861.253827443;6516732.28905217;-55.8329;-31.4789;POLICLINICA PASO DEL CERRO;
126698;POL CLARA;18;TACUAREMBO;18822;CLARA;;;;;;;;;;;;;;59;;14-03-2026;;;;;;;;619208.371431425;6434044.4051089;-55.7349;-32.2239;POLICLINICA CLARA;
126699;POL CUCHILLA DEL OMBU;18;TACUAREMBO;18825;CUCHILLA DEL OMBU;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;623382.519866702;6483210.2066973;-55.6969;-31.78;POLICLINICA CUCHILLA DEL OMBU;
126700;POL LA HILERA;18;TACUAREMBO;18827;LA HILERA;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;627040.951433736;6449904.17742041;-55.6539;-32.08;POLICLINICA LA HILERA;
126701;POL TOSCAS DE CARAGUATA;18;TACUAREMBO;18828;LAS TOSCAS DE CARAGUATA;;;;;;;;;;;;;;LAS TOSCAS;;14-03-2026;46309031;;;;;;;687521.578894763;6437445.90005299;-55.0109;-32.1839;POLICLINICA TOSCAS DE CARAGUATA;
126702;POL BONILLA;18;TACUAREMBO;18829;PASO BONILLA;;;;378;;;;;;;;;;RUTA 5  KM 378;;14-03-2026;46302213;;;;;;;597021.4035865;6480510.22760625;-55.975;-31.8069;POLICLINICA BONILLA;
126703;POL PUEBLO DEL BARRO;18;TACUAREMBO;18831;PUEBLO DEL BARRO;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;650449.82105366;6462458.95737924;-55.4079;-31.9639;POLICLINICA PUEBLO DEL BARRO;
126704;POL PIEDRA SOLA;18;TACUAREMBO;18894;PIEDRA SOLA;;;;;;;;;;;;;;FRANCISCO URRUTIA;;14-03-2026;;;;;;;;565223.531769494;6450720.71661935;-56.3089;-32.0779;POLICLINICA PIEDRA SOLA;
126705;POL CANADA DEL ESTADO;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;43609207;;;;;;;605364.267940024;6399052.03562483;-55.8779;-32.5409;POLICLINICA CANADA DEL ESTADO;
126706;POL CANAS;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;593953.925263847;6518117.78389306;-56.011;-31.4679;POLICLINICA CANAS;
126707;RONDA RURAL CARAGUATA;18;TACUAREMBO;18900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;698107.067190774;6443345.15082448;-54.8999;-32.1289;POLICLINICA CARAGUATA AL NORTE;
126708;POL CARPINTERIA;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;43609195;;;;;;;594560.121526532;6398605.6828749;-55.9929;-32.5459;POLICLINICA CARPINTERIA;
126709;POL CERRO CHATO;18;TACUAREMBO;18900;;;;;;;;;;;;;;;RUTA 43;;14-03-2026;;;;;;;;606530.098992111;6403585.4939863;-55.866;-32.4999;POLICLINICA CERRO CHATO;
126710;POL CERRO DE CLARA;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;609737.856573397;6447233.95506257;-55.8369;-32.1059;POLICLINICA CERRO DE CLARA;
126711;POL CERRO DE LA ALDEA;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;590843.168389132;6488426.18518198;-56.041;-31.736;POLICLINICA CERRO DE LA ALDEA;
126712;POL CERRO DEL ARBOLITO;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;603091.430388187;6452514.11524288;-55.9079;-32.0589;POLICLINICA CERRO DEL ARBOLITO;
126713;RONDA RURAL CERRO PERERIA;18;TACUAREMBO;18900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;671545.511697035;6418653.45413083;-55.1769;-32.3559;POLICLINICA CERRO PEREIRA;
126714;POL CERRO TRAVIESO NODOS;18;TACUAREMBO;18900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;570887.787281752;6519741.08194886;-56.2539;-31.4549;POLICLINICA CERRO TRAVIESO NODOS;
126715;POL CUCHILLA CASA DE PIEDRA;18;TACUAREMBO;18900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;575777.701232055;6512723.51537023;-56.2019;-31.5179;POLICLINICA CUCHILLA CASA DE PIEDRA;
126716;POL CUCHILLA DE LAURELES;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;592956.666550549;6534199.70234466;-56.023;-31.3229;POLICLINICA CUCHILLA DE LAURELES;
126718;RONDA RURAL FRIGORIFICO MODELO;18;TACUAREMBO;18900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;654484.09490035;6423243.40684475;-55.3589;-32.317;POLICLINICA FRIGORIFICO MODELO;
126719;POL LA CALZADA;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;611763.114130913;6503419.70680764;-55.8219;-31.5989;POLICLINICA LA CALZADA;
126720;POL LA MATUTINA;18;TACUAREMBO;18900;;;;;;;;;;;;;;;RUTA 31;;14-03-2026;46330019;;;;;;;589287.440133511;6494769.43770828;-56.058;-31.6789;POLICLINICA LA MATUTINA;
126721;POL LAMBARE;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;599493.350201495;6511182.46322127;-55.952;-31.53;POLICLINICA LAMBARE;
126722;RONDA RURAL LAS ARENAS;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;681967.51578535;6443314.35415246;-55.0709;-32.1319;POLICLINICA LAS ARENAS;
126723;POL LOS CUADRADOS;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;599386.938889915;6440566.60965582;-55.9459;-32.167;POLICLINICA LOS CUADRADOS;
126724;POL LOS FURTADOS;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;43609099;;;;;;;609228.877008771;6427172.20864518;-55.84;-32.2869;POLICLINICA LOS FURTADOS;
126725;POL MONTEVIDEO CHICO;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;640379.383902435;6431444.38884354;-55.5099;-32.2449;POLICLINICA MONTEVIDEO CHICO;
126726;POL ONCE CERROS;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;607544.52782477;6436170.66342848;-55.8589;-32.2059;POLICLINICA ONCE CERROS;
126727;POL PASO CEFERINO NODOS;18;TACUAREMBO;18900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;587827.000656726;6512628.79150095;-56.075;-31.5179;POLICLINICA PASO CEFERINO NODOS;
126728;POL PASO DE LAS CARRETAS;18;TACUAREMBO;18900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;590926.280255182;6507613.9210045;-56.0419;-31.5629;POLICLINICA PASO DE LAS CARRETAS;
126729;POL PASO DE LOS NOVILLOS;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;625863.111683581;6461560.47777459;-55.6679;-31.975;POLICLINICA PASO DE LOS NOVILLOS;
126730;POL PASO DEL MEDIO NODOS;18;TACUAREMBO;18900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;587583.14949918;6517508.1625897;-56.078;-31.4739;POLICLINICA PASO DEL MEDIO NODOS;
126731;POL PASO HONDO;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;43609183;;;;;;;604929.207795852;6420343.91499442;-55.8849;-32.3489;POLICLINICA PASO HONDO;
126732;POL PUEBLO HERIBERTO;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;46309374;;;;;;;636227.67198052;6473413.31524954;-55.5599;-31.8669;POLICLINICA PUEBLO HERIBERTO;
126733;POL PUEBLO SEMPER;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;632073.964871708;6466815.18225529;-55.6029;-31.9269;POLICLINICA PUEBLO SEMPER;
126734;POL POBLADO TREINTA Y TRES;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;590224.597175561;6525244.99038312;-56.0509;-31.4039;POLICLINICA PUEBLO TREINTA Y TRES;
126735;RONDA RURAL PUNTA DE CINCO SAUCES;18;TACUAREMBO;18900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;671234.958238172;6444831.75487685;-55.1849;-32.1199;POLICLINICA PUNTA DE CINCO SAUCES;
126736;POL QUIEBRA YUGOS;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;583616.169031292;6496801.06606027;-56.118;-31.661;POLICLINICA QUIEBRA YUGOS;
126737;POL RINCON DE LA ALDEA;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;585645.03397511;6489922.80063302;-56.096;-31.7229;POLICLINICA RINCON DE LA ALDEA;
126738;POL RINCON DE LA LAGUNA;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;639818.957137732;6466157.96801597;-55.5209;-31.9319;POLICLINICA RINCON DE LA LAGUNA;
126739;POL RINCON DE TRANQUERAS;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CALLE 153;;14-03-2026;;;;;;;;599365.771734055;6487028.42980978;-55.9509;-31.7479;POLICLINICA RINCON DE TRANQUERAS;
126740;POL SANTANGELO;18;TACUAREMBO;18900;;;;;;;;;;;;;;;B GADOLA;;14-03-2026;46326748;;;;;;;592277.671583788;6488867.9556318;-56.0259;-31.7319;POLICLINICA SANTANGELO;
126741;POL VALLE EDEN;18;TACUAREMBO;18900;;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;580938.05444956;6480538.46777638;-56.1449;-31.8079;POLICLINICA VALLE EDEN;
126742;RONDA RURAL POBLADO LAURA;18;TACUAREMBO;18900;;;;;326;;;;;;;;;;RUTA 6  KM 326;;14-03-2026;;;;;;;;695832.14347348;6437954.26850204;-54.9229;-32.1779;PUESTO DE SALUD POBLADO LAURA;
126743;RONDA RURAL PUNTA DE CARRETERA;18;TACUAREMBO;18900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;670360.132024285;6448949.73814855;-55.1949;-32.0829;PUESTO DE SALUD PUNTA DE CARRETERA;
126744;POL CARDOZO GRANDE;18;TACUAREMBO;18925;CARDOZO;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;562842.921163901;6388545.30120082;-56.33;-32.6389;POLICLINICA CARDOZO GRANDE;
126745;POL CHAMBERLAIN;18;TACUAREMBO;18928;CHAMBERLAIN;;;;265;;;;;;;;;;RUTA 5  KM 265;;14-03-2026;96840929;;;;;;;549028.59809674;6383301.63394983;-56.477;-32.6869;POLICLINICA CHAMBERLAIN;
126746;POL PERALTA;18;TACUAREMBO;18931;CUCHILLA DE PERALTA;;;;298;;;;;;;;;;RUTA 5  KM 298;;14-03-2026;46604338;;;;;;;560510.846269921;6404634.35750008;-56.3559;-32.4939;POLICLINICA PERALTA;
126747;POL ESTACION LAURELES;18;TACUAREMBO;18952;LAURELES;;;;;;;;;;;;;;VECINAL;;14-03-2026;;;;;;;;607184.978735097;6529740.65765202;-55.873;-31.3619;POLICLINICA ESTACION LAURELES;
126748;POL SAUCE DE BATOVI;18;TACUAREMBO;18980;SAUCE DE BATOVI;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;;;;;;;;598746.260520958;6471846.8767865;-55.9559;-31.8849;POLICLINICA SAUCE DE BATOVI;
126749;RONDA RURAL RINCON DE PEREIRA;18;TACUAREMBO;18991;RINCON DE PEREIRA;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;667080.141689486;6410521.720176;-55.2229;-32.4299;POLICLINICA RINCON DE PEREIRA;
126752;POL 25 DE AGOSTO;19;TREINTA Y TRES;19220;TREINTA Y TRES;;TTE. CNEL. ADRIAN MEDINA;1358;;;ANDRES AREGUATI;;;;;;;;ADRIAN MEDINA 1358 esquina ANDRES AREGUATI;;14-03-2026;44522694;;;;;;;743825.132879577;6321838.31858707;-54.3839;-33.2149;POLICLINICA 25 DE AGOSTO;
126753;POL BARRIO KENNEDY;19;TREINTA Y TRES;19220;TREINTA Y TRES;;RINCON;;;;MANUEL FLORES MORA;;;;;;;;RINCON esquina MANUEL FLORES MORA;;14-03-2026;44522470;;;;;;;744227.283021525;6319275.69129552;-54.3789;-33.2379;POLICLINICA BARRIO KENNEDY;
126754;POL BARRIO NELSA GOMEZ;19;TREINTA Y TRES;19220;TREINTA Y TRES;;JUAN ACOSTA;;;;DR. ORTELIO MENDEZ TECHERA;;;;;;;;JUAN ACOSTA esquina ORTELIO MENDEZ TECHERA;;14-03-2026;44526092;;;;;;;744103.473600969;6318058.00814401;-54.3799;-33.2489;POLICLINICA BARRIO NELSA GOMEZ;
126755;POL BARRIO SOSA;19;TREINTA Y TRES;19220;TREINTA Y TRES;;;;;;;;;;;;;;MANUEL CALLEROS;;14-03-2026;44520669;;;;;;;742185.090884187;6319659.65661905;-54.4009;-33.2349;POLICLINICA BARRIO SOSA;
126756;POL BATALLON;19;TREINTA Y TRES;19220;TREINTA Y TRES;;RAMON ORTIZ;;;;;;;;;;;;RAMON ORTIZ esquina TOMAS GOMEZ;;14-03-2026;;;;;;;;745450.118309642;6319688.85849213;-54.3659;-33.2339;POLICLINICA BATALLON;
126757;POL COMUNITARIA LOS CEIBOS;19;TREINTA Y TRES;19220;TREINTA Y TRES;;;;;;;;;;;;;;VALENTIN OLIVERA ORTIZ esquina 17;;14-03-2026;;;;;;;;744019.922632339;6322166.38162171;-54.3819;-33.2119;POLICLINICA COMUNITARIA LOS CEIBOS;
126758;POL LIBERTAD;19;TREINTA Y TRES;19220;TREINTA Y TRES;;DIONISIO ORIBE;1028;;;SARANDI;;;;;;;;DIONISIO ORIBE 1028 esquina SARANDI;;14-03-2026;44523580;;;;;;;743196.503164806;6319079.54153517;-54.3899;-33.2399;POLICLINICA LIBERTAD;
126759;POL LOS ARRAYANES;19;TREINTA Y TRES;19220;TREINTA Y TRES;;;;;;;;;;;;;;TOMAS GOMEZ esquina CARMELO COLMAN;;14-03-2026;;;;;;;;745283.261082198;6320469.93600747;-54.3679;-33.2269;POLICLINICA LOS ARRAYANES;
126760;POL SAN IGNACIO;19;TREINTA Y TRES;19220;TREINTA Y TRES;;JUAN SPIKERMAN;973;;;ITUZAINGO;;;;;;;;JUAN SPIKERMAN 973 esquina ITUZAINGO;;14-03-2026;44528956;;;;;;;743428.118893754;6319018.26107167;-54.3874;-33.2404;POLICLINICA SAN IGNACIO;
126761;POL SAN MARTIN;19;TREINTA Y TRES;19220;TREINTA Y TRES;;SANTIAGO NIEVAS;;;;DEL MENSAJERO;;;;;;;;SANTIAGO NIEVAS esquina EL MENSAJERO;;14-03-2026;;;;;;;;745035.393093088;6318034.58156714;-54.3699;-33.2489;POLICLINICA SAN MARTIN;
126762;POL SANIDAD POLICIAL;19;TREINTA Y TRES;19220;TREINTA Y TRES;;MANUEL LAVALLEJA;;;;SIMON DEL PINO;;;;;;;;MANUEL LAVALLEJA esquina SIMON DEL PINO;;14-03-2026;;;;;;;;743687.496885858;6320066.08244755;-54.3849;-33.2309;POLICLINICA SANIDAD POLICIAL;
126766;POL BARRIO ABREU;19;TREINTA Y TRES;19522;VERGARA;;;;;;CNEL. FRANCISCO TAJES;;;;;;;;RICARDO HIERRO esquina FRANCISCO TAJES;;14-03-2026;44522397;;;;;;;786114.673007803;6351329.67947767;-53.9399;-32.9389;POLICLINICA BARRIO ABREU;
126767;POL ARROZAL 33;19;TREINTA Y TRES;19721;ARROZAL TREINTA Y TRES;;;;;;;;;;;;;;esquina D;;14-03-2026;;;;;;;;808482.210139155;6339105.36759108;-53.6969;-33.0429;POLICLINICA ARROZAL 33;
126768;POL CHARQUEADA;19;TREINTA Y TRES;19722;GRAL. ENRIQUE MARTINEZ;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;797753.493685249;6321560.47567895;-53.8059;-33.2039;POLICLINICA CHARQUEADA;
126769;POL VILLA SARA;19;TREINTA Y TRES;19723;VILLA SARA;;ROCHA;1069;;;RUTA 8 BRIG. GRAL. JUAN A LAVALLEJA;;;;;;;;ROCHA 1069 esquina RUTA 8;;14-03-2026;44523899;;;;;;;741398.171987237;6318014.52934061;-54.4089;-33.2499;POLICLINICA VILLA SARA;
126770;POL ESTACION RINCON;19;TREINTA Y TRES;19821;ESTACION RINCON;;;;;;;;;;;;;;JOSE PEDRO VARELA esquina RENEE ROSANO GARATE;;14-03-2026;;;;;;;;796757.355991972;6362783.59445199;-53.8299;-32.8329;POLICLINICA ESTACION RINCON;
126771;POL MA ISABEL ISLA PATRULLA;19;TREINTA Y TRES;19822;ISLA PATRULLA (MARIA ISABEL);;;;;;;;;;;;;;TREINTA Y TRES;;14-03-2026;;;;;;;;727528.342598745;6347088.21355816;-54.5649;-32.9909;POLICLINICA BARRIO MARIA ISABEL;
126772;POL VALENTINES;19;TREINTA Y TRES;19896;VALENTINES;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;676528.436769167;6318520.265667;-55.1049;-33.2579;POLICLINICA VALENTINES;
126773;POL CERROS AMARO;19;TREINTA Y TRES;19900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;751304.879741149;6355276.4100265;-54.3129;-32.9119;POLICLINICA CERROS AMARO;
126774;POL CIPA CEBOLLATI;19;TREINTA Y TRES;19900;;;;;;;;;;;;;;;RUTA 17;;14-03-2026;;;;;;;;788543.109448061;6316286.2498188;-53.9029;-33.2539;POLICLINICA CIPA CEBOLLATI;
126775;POL POBLADO ALONSO;19;TREINTA Y TRES;19922;POBLADO ALONZO;;;;;;;;;;;;;;CAMINO AL MOLINO DE PERINETT;;14-03-2026;44502696;;;;;;;747104.513464022;6326084.01223259;-54.3499;-33.1759;POLICLINICA POBLADO ALONSO;
126776;RONDA RURAL ARROCERA LOS CEIBOS;19;TREINTA Y TRES;19940;ARROCERA LOS CEIBOS;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;821329.310850798;6348688.10021059;-53.5629;-32.9529;POLICLINICA ARROCERA LOS CEIBOS;
126777;POL MARIA ALBINA;19;TREINTA Y TRES;19941;MARIA ALBINA;;;;;;;;;;;;;;FRANCISCO N OLIVERES esquina SAN CASIANO;;14-03-2026;44505192;;;;;;;715894.719060791;6303190.85561706;-54.6789;-33.3889;POLICLINICA MARIA ALBINA;
126778;POL EL ORO;19;TREINTA Y TRES;19942;MENDIZABAL (EL ORO);;;;;;;;;;;;;;;;14-03-2026;;;;;;;;765569.824212331;6339251.75790455;-54.1559;-33.0529;POLICLINICA POBLADO EL ORO;
126779;POL PUNTAS DEL PARAO;19;TREINTA Y TRES;19947;PUNTAS DEL PARAO;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;745551.403023347;6376173.49714952;-54.3799;-32.7249;POLICLINICA PUNTAS DEL PARAO;
126780;POL VILLA PASSANO;19;TREINTA Y TRES;19955;VILLA PASSANO;;;;;;;;;;;;;;PAYSANDU esquina BRASIL;;14-03-2026;;;;;;;;788324.815573109;6312073.67977296;-53.9039;-33.2919;POLICLINICA PASANO;
126781;POL PASO ANCHO;19;TREINTA Y TRES;19956;EJIDO DE TREINTA Y TRES;;;;291;;4 DE OCTUBRE;;;;;;;;RUTA 17 KM 291 esquina 4 DE OCTUBRE;;14-03-2026;44523387;;;;;;;746630.405373234;6322100.6489372;-54.3539;-33.2119;POLICLINICA PASO ANCHO;
126782;RONDA RURAL ARROCERA EL TIGRE;19;TREINTA Y TRES;;;;;;;;;;;;;;;;;;14-03-2026;44508074;;;;;;;817991.169724421;6343910.12538404;-53.5969;-32.9969;POLICLINICA ARROCERA EL TIGRE;
126783;RONDA RURAL LA QUERENCIA;19;TREINTA Y TRES;;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;839445.51714051;6358076.89195836;-53.3729;-32.8629;POLICLINICA LA QUERENCIA;
126784;RONDA RURAL ARROZAL SAN FERNANDO;19;TREINTA Y TRES;19969;ARROCERA SAN FERNANDO;;;;;;;;;;;;;;ESCUELA SAN FERNANDO 77;;14-03-2026;44508126;;;;;;;835832.608818169;6364865.0343562;-53.4139;-32.8029;POLICLINICA ARROZAL SAN FERNANDO;
126785;RONDA RURAL ARROCERA ZAPATA;19;TREINTA Y TRES;19971;ARROCERA ZAPATA;;;;;;;;;;;;;;ESCUELA ZAPATA 27;;14-03-2026;44508120;;;;;;;816599.170877452;6358836.25163851;-53.6169;-32.8629;POLICLINICA ARROCERA ZAPATA;
126786;POL BARRIO YERBAL;19;TREINTA Y TRES;19220;TREINTA Y TRES;;FRANCISCO LAVALLEJA;856;;;JUAN ROSAS;;;;;;;;FRANCISCO LAVALLEJA 856 esquina JUAN ROSAS;;14-03-2026;44528956;;;;;;;742959.435211072;6320417.21697514;-54.3928;-33.2279;POLICLINICA BARRIO YERBAL;
126787;POL BARRIO LA FLORESTA;19;TREINTA Y TRES;19956;EJIDO DE TREINTA Y TRES;;;1081;;;;;;;;;;;BASILICIO SARAVIA 1081 esquina MANUEL FREIRE;;14-03-2026;44530833;;;;;;;743331.560794006;6320751.96162;-54.3889;-33.2248;POLICLINICA BARRIO LA FLORESTA;
126788;POL LA CALERA;19;TREINTA Y TRES;19956;EJIDO DE TREINTA Y TRES;;PASO A LA CALERA;;;;;;;;;;;;A PASO DE LA CALERA;;14-03-2026;44522067;;;;;;;743688.594519505;6323839.36886187;-54.3859;-33.1969;POLICLINICA LA CALERA;
126789;POL CAMPO MILITAR N 1;3;CANELONES;3900;;;;45;;;;;;;;;;;RUTA 36 45;;14-03-2026;43363470;;;;;;;551118.276529975;6177615.6530129;-56.4429;-34.5419;POLICLINICA CAMPO MILITAR N 1;
126790;POL HUGO ROMAN;8;FLORIDA;8220;FLORIDA;;DR. ALEJANDRO GALLINAL;;;;18 DE JULIO;;;;;;;;ALEJANDRO GALLINAL esquina 18 DE JULIO;;14-03-2026;21527627;;;;;;;572591.700856249;6226265.92767543;-56.213;-34.1019;POLICLINICA HUGO ROMAN;
126791;BPS  SAYAGO;1;MONTEVIDEO;1020;SAYAGO;;AVDA. GRAL. EUGENIO GARZON;969;;;PIRIBEBUY;;;;;;;;EUGENIO GARZON 969 esquina PIRIBEBUY;;14-03-2026;23597514;;;;;;;571230.876579625;6145321.73900331;-56.221;-34.8319;Centro de Promoci�n Social y de Salud BPS  SAYAGO;
126792;POL ILLESCAS;9;LAVALLEJA;9522;JOSE PEDRO VARELA;;;1;;;SORIANO;;;;;;;;GALLINAL 1 esquina SORIANO;;14-03-2026;;;;;;;;729041.162145646;6296230.44502164;-54.5359;-33.4489;POLICLINICA MEVIR 2 JP VARELA;
126793;POL SEGURO DE SALUD;19;TREINTA Y TRES;19220;TREINTA Y TRES;;RINCON;1181;;;GRAL. MANUEL ORIBE;;;;;;;;RINCON 1181 esquina MANUEL ORIBE;;14-03-2026;44522585;;;;;;;743761.265709647;6319287.37356111;-54.3839;-33.2379;POLICLINICA SEGURO DE SALUD;
126794;POL BARRIO ARTIGAS;19;TREINTA Y TRES;19220;TREINTA Y TRES;;SARANDI;;;;GRAL. MANUEL ORIBE;;;;;;;;SARANDI esquina MANUEL ORIBE;;14-03-2026;44526973;;;;;;;743758.487984124;6319176.46273817;-54.3839;-33.2389;POLICLINICA BARRIO ARTIGAS;
126796;CENTRO DE PREMATUROS;15;SALTO;15120;SALTO;;18 DE JULIO;286;;;JOSE PEDRO VARELA;;;;;;;;18 DE JULIO 286 esquina JOSE PEDRO VARELA;;14-03-2026;47341368;;;;;;;408536.428255362;6526675.24127414;-57.962;-31.3909;CENTRO DE PREMATUROS;
126797;POL VILLA INDART;13;RIVERA;13900;;;;;24;;;;;;;;;;CNO DEL MEDIO KM 24;;14-03-2026;;;;;;;;683730.949047974;6532114.73211758;-55.0689;-31.3309;POLICLINICA VILLA INDART;
126798;POL CAPON ALTO;13;RIVERA;13900;;;;;38;;;;;;;;;;RUTA 27 KM 38;;14-03-2026;;;;;;;;664173.612021018;6547519.04004513;-55.2769;-31.1949;POLICLINICA CAPON ALTO;
126799;POL PASO ATAQUES;13;RIVERA;13900;;;;;38;;;;;;;;;;RUTA 28 KM 38;;14-03-2026;;;;;;;;656246.413125231;6546419.95856979;-55.3599;-31.2059;POLICLINICA PASO ATAQUES;
126800;POL ESTACION ATAQUES;13;RIVERA;13900;;;;;472;;;;;;;;;;RUTA 5 KM 472;;14-03-2026;;;;;;;;629374.326091057;6554976.81703782;-55.643;-31.132;POLICLINICA ESTACION ATAQUES;
126801;UNIDAD DE INGRESO DIAGNOSTICO Y DERIVACION DE LA ZONA METROPOLITANA;1;MONTEVIDEO;1020;CENTRO;;CARLOS QUIJANO;1310;;;SAN JOSE;;;;;;;;CARLOS QUIJANO 1310 esquina SAN JOSE;;14-03-2026;21522000;;;;;;;574090.485037768;6137081.02920439;-56.189;-34.906;SAIPPL CARCEL CENTRAL;
126802;POL POLICIAL;9;LAVALLEJA;9220;MINAS;;JUAN FARINA;;;;FRANKLIN DELANO ROOSEVELT;;;;;;;;JUAN FARINA esquina FRANKLIN DELANO ROOSEVELT;;14-03-2026;;;;;;;;661557.309557709;6194875.65035136;-55.2429;-34.3749;POLICLINICA POLICIAL;
