WKT;name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon
"POINT (-56.23818 -34.86779)";JF176 MUCAM LA TEJA ;"Días y horarios: Sab de  08:00 a 10:00<br>Teléfono: 2305 4448 / 23057588<br>Dirección: Carlos María Ramírez 	1032	Elbio Fernández y Humbolt";;;;;-1;0;-1;;
"POINT (-56.119827 -34.887002)";"JF177  IAMC 	COSEM MALVÍN";"Días y horarios:  Lun. a Vie. de 09:15 a 19:00 Hrs. / Sáb. de 09:15 a 12:00 Hrs.<br>Dirección: Avda Italia	4206	Mariscala y Alejandro Korn";;;;;-1;0;-1;;
"POINT (-56.119342 -34.868173)";"JF193  IAMC 	SMI MALVÍN";"Días y horarios: Ma y Jue de 14:15 a 17:45<br>Dirección: Veracierto	2489	Camino Carrasco";;;;;-1;0;-1;;
"POINT (-56.138501 -34.815023)";"JF195  IAMC 	MUCAM PIEDRAS BLANCAS";"Días y horarios: Lun a Vie de 12:30 a 15:00<br>Dirección: José Belloni 	4918	Camino Domingo Arena y Previsión";;;;;-1;0;-1;;
"POINT (-56.222497 -34.806285)";JF196  MUCAM COLÓN;"Días y horarios: Vie de 13:00 a 15:30<br>Teléfono: 2321 0750 / 23209399<br>Dirección: Garzón 	1907	Lanús y Eduardo A. Raíz";;;;;-1;0;-1;;
"POINT (-56.1372 -34.905328)";JF203  ASOCIACIÓN ESPAÑOLA LAS TORRES;"Días y horarios: L, Mi y Vie de 8:15 a 11.30 hrs.<br>Dirección: Luis a. de Herrera	1223	26 de Marzo";;;;;-1;0;-1;;
"POINT (-56.159248 -34.899985)";JF214 SEGURO AMERICANO;"Días y horarios: Lun a Vie de 08:15 a 15:00 Hrs.<br>Dirección: Luis Ponce	1523	Bosh y E Puch";;;;;-1;0;-1;;
"POINT (-56.191399 -34.904463)";"JF217 IAMC 	Clínica Preventiva";"Días y horarios: Lun, Mi, Vie de 09:30 a 12:15<br>Dirección: Rondeau 1422 Piso 1 Colonia y Mercedes<br>Telefono: 0800 1277 ";;;;;-1;0;-1;;
"POINT (-56.204478 -34.86876)";JF219 Asociación Española Prado;"Días y horarios: Lun, Mi y Vie de 08:15 a 11:30 hrs.<br>Dirección: 19 de abril 	3322	 esq. Agraciada";;;;;-1;0;-1;;
"POINT (-56.90105 -33.516817)";"FF113	Trinidad  IAMC	COMEFLO";Días y horarios: Ma y Jue de 14:00 a 16:00<br>Dirección: Fray Úbeda Nº 717;;;;;-1;0;-1;;
"POINT (-56.4623254 -30.3949944)";AA113 Centro de Salud Artigas;Días y horario: de Lun a Vie de 06:30 a 12:30 hrs<br>Dirección: 18 de julio 237 y Garzón y Diego Lamas;;;;;-1;0;-1;;
"POINT (-56.4680864 -30.3921373)";AA118 IMA - Policlínica Catalá;Días y horarios: Lun a Vi de 8:00 a 12:00 hrs.<br>Dirección: Santiago Montes s/n Juan B Torres;;;;;-1;0;-1;;
"POINT (-56.4560248 -30.4333563)";AE111 IMA- Policlínica Pintadito;Días y horarios: Lun a Vie de 13:00 a 17:00<br>Dirección: Angel Chaia esq. 4 de abril;;;;;-1;0;-1;;
"POINT (-57.5900881 -30.2557699)";AB116 - Centro de Salud Bella Union;Días y horarios: Lun a Vie de 13:00 a 17:00<br> Dirección: Chile entre Rep. Argentina y Brasil;;;;;-1;0;-1;;
"POINT (-56.220442 -34.7234035)";BA111  C.P CHLA-EP LAS PIEDRAS ;"Días y horarios: L, Ma, J  y V de 08:00 a 13:00 hrs.<br>Dirección: Espínola 413, esquina Canelones. ";;;;;-1;0;-1;;
"POINT (-56.2238854 -34.7290631)";"BA118  IAMC-  CRAMI -  Las Piedras
";"Días y horarios: Lunes a Viernes, Por agenda a partir de las 14:15 hs.<br>Dirección: Dr Puey s/n esq soca";;;;;-1;0;-1;;
"POINT (-56.216903 -34.7292224)";"BA119  IAMC	Asociación Española Las Piedras ";Días y horarios: Lun de 14:15  a 17:30 hrs.<br>Dirección: Lavalleja 655 esq. Soca;;;;;-1;0;-1;;
"POINT (-56.2180403 -34.6677541)";"BB119	Progreso  IAMC	CRAMI Progreso";"Días y horarios: Martes y Miercoles a partir de las 09:00 Hrs.<br>Dirección: Gral. Artigas	km 28	Estados Unidos de Brasil";;;;;-1;0;-1;;
"POINT (-56.2192364 -34.7256245)";"BA125 IAMC	CASMU Las Piedras";"Días y horarios: Mi de 14:00 a 16:00<br>Dirección: Pilar Cabrera	545  esq. Luis A. de Herrera";;;;;-1;0;-1;;
"POINT (-56.2268104 -34.7572876)";BC111  Sub C.P CHLA-EP LA PAZ ;"Días y horarios: Lun a Vie de 08:00 a 13:30<br> Dirección: Emilio Andreon 9002, Gribaldi";;;;;-1;0;-1;;
"POINT (-56.2838767 -34.5153854)";BB111 C.P CHLA-EP CANELONES;Días y horarios: Lun a Vie de 07:30 a 13:30<br>Dirección: Herson Tawe 1073 esquina Cendán;;;;;-1;0;-1;;
"POINT (-56.2821634 -34.5225555)";"BB118 IAMC	Asociación Española Canelones";"Días y horarios: 4° Mié. de 14:00 a 17:30 hrs.<br> Dirección: Batlle y Ordoñez 	669  esq. Tolentino González";;;;;-1;0;-1;;
"POINT (-56.3856114 -34.4589433)";BB113 ASSE Sub C.P CHLA-EP SANTA LUCIA;Días y horarios: Lunes a Viernes de 08:30 a 13:30<br>Dirección: Continuación Herrera entre Diego Lamas y Bolivia;;;;;-1;0;-1;;
"POINT (-56.3924035 -34.4515771)";"BB121  IAMC-COMECA Santa Lucía
";"Días y horarios: Lun a Jue de 14:15 a 17: 15 y Vie de 08:00 a 11:00<br>Dirección: Dr Antonio Legnani	277	J Enrique Rodo y Chile<br> ";;;;;-1;0;-1;;
"POINT (-55.9613785 -34.7239889)";"BE128 IAMC	CAAMEPA Pando
";Días y horarios: Lun y Vier de 9:00 a 14:00 Hrs. y Miercoles de 11:00 a 14:00 Hrs. <br>Dirección: Baltasar Brum 1224 esq Sarandi <br>   ;;;;;-1;0;-1;;
"POINT (-55.9556197 -34.7142954)";"BE132	Pando	IAMC ASOCIACION ESPAÑOLA";"Días y horarios: Jue de 14:00 a 17:30<br>Dirección: Iturria	 s/n 	Vargas y Lavalleja";;;;;-1;0;-1;;
"POINT (-55.8705388 -34.5431565)";BE179 IAMC MUCAM San Jacinto;"Días y horarios: Ma, Mi y Jue de 16:30 a 20:00<br>Dirección: Jacinto Vera 	s/n 	L.A. De Herrera y Cayetano González";;;;;-1;0;-1;;
"POINT (-55.9772191 -34.8307566)";"BE155 ASSE	Centro de Salud de C. de la Costa";Días y horarios: Lun a Vie de 07:30 a 12:00 y de 12:30 A 16:30 hrs. <br>Dirección: García Arocena s/nº esq. Seco García Km 22.200 ;;;;;-1;0;-1;;
"POINT (-55.95886 -34.8227057)";"BE187 IAMC	S.M.I. De la Costa";"Días y horarios: Lun a Vie de 07:30 a 13:00 hrs.<br>Dirección: Giannattasio Km. 24.500		Eduardo Marquez Castro";;;;;-1;0;-1;;
"POINT (-55.8549563 -34.7769766)";"BE138 IAMC	As Española Pinamar - Salinas";"Días y horarios: J de 14:00 a 17:30 hrs. <br>Dirección: Ruta Interbalnearia Km 37		 Calar y avda Nogueira";;;;;-1;0;-1;;
"POINT (-55.8452842 -34.7764272)";"BE149 IAMC	CASMU Salinas";"Días y horarios: Lun y Mi a partir de las 14:30, se entregan 25 N°.<br>Dirección:  Zorrilla de San Martin Km. 37.500		Pitanga y Sarandi";;;;;-1;0;-1;;
"POINT (-55.8502008 -34.7762797)";"BE182 IAMC	MUCAM Salinas";Días y horarios: Ma y Jue de 14:00 a 17:00<br>Dirección: Ruta Interbalnearia Km. 37500;;;;;-1;0;-1;;
"POINT (-55.6295077 -34.4889677)";"BE191 IAMC	CASMU Migues";"Días y horarios: Lun, Mi de 08:00 a 09:00<br>Dirección: Jose Pedro Varela	 s/n 	J. P. Varela y Sarandi";;;;;-1;0;-1;;
"POINT (-55.5588876 -34.4914786)";"BE186 IAMC	MUCAM Montes";"Días y horarios: Mi y Jue de  08:00 a 09:00<br>Dirección: Calle 11	 s/n	 entre A. Centenario y Diagonal 3";;;;;-1;0;-1;;
"POINT (-56.0082067 -34.756597)";"BE194  IAMC 	SAAP Barros Blancos";"Días y horarios: Ma y Jue de 10:00 a 14:00<br> Dirección: Ruta 8 km 25 		Los Ceibos";;;;;-1;0;-1;;
"POINT (-55.7637577 -34.3472894)";BF113 Centro Auxiliar Tala ;"Días y horarios: Lun a Vie de 07:00 a 11:30<br> Dirección: Jose Alonso 	s/n	Avda Artigas";;;;;-1;0;-1;;
"POINT (-56.0945746 -34.7390525)";"BF125 IAMC	MUCAM TOLEDO";"Días y horarios: Ma y Jue de 14:00 a 17:00<br>Dirección: av la estacion 	1512	Ruta 6 km 22.800";;;;;-1;0;-1;;
"POINT (-56.0652436 -34.6506144)";BF116 C.P CHLA-EP SAUCE;"Días y horarios: Lun, Mar y Vie de 08:00 a 12:30<br>Dirección transitoria: René González N°2128 (hasta marzo 2026)";;;;;-1;0;-1;;
"POINT (-55.6763576 -34.7561005)";Medica Uruguaya;;;;;;-1;0;-1;;
"POINT (-55.6763576 -34.7561005)";"BE199  IAMC	MUCAM La Floresta ";"Días y horarios: Lun, Mi y Vi de 08:00 a 12:00<br>Dirección: Jaune y bernat	s/n	Zenon Burgueño";;;;;-1;0;-1;;
"POINT (-54.170832 -32.371892)";"CC114  IAMC	Camcel Melo";"Días y horarios: Ma, Mi y Vie de 15:00 a 17:45<br>Dirección: Nano Perez	660	Batlle y Ordoñez";;;;;-1;0;-1;;
"POINT (-58.2850919 -33.9946779)";"DA112 IAMC	CAMOC CARMELO";"Días y horarios: Mar., Juev, y Vier, de 09:00 a 13:00 hrs.<br>Dirección: Uruguay	543	25 de Mayo y Gral. Flores";;;;;-1;0;-1;;
"POINT (-57.3494081 -34.3102473)";"DJ112  IAMC	CAMEC ROSARIO
";"Días y horarios: Lun. a Mié. de 14:30 a 17:30 hrs.<br>                             Vie. y Jue. de 09:00 a 12:00 hrs.<br>Dirección: Cerrito 283, Treinta y Tres e Ituzaingo<br> ";;;;;-1;0;-1;;
"POINT (-57.2676475 -34.345368)";"DC111  CHLA EP	Policlínica ASSE Sub CP Colonia Valdense ";"Días y horarios: Segundo y último Viernes de cada mes de 08:00 a 13:00 hrs.<br>Dirección: Alice Rivoir	s/n	11 de Junio";;;;;-1;0;-1;;
"POINT (-56.5196807 -33.3802662)";"EE115	IAMC CAMEDUR-IAMPP";"Días y horarios: Lun a Vie de 14:00 a 17:00<br>Dirección: Herrera	942	Baltasar Brum y Artigas";;;;;-1;0;-1;;
"POINT (-56.2123346 -34.0996325)";"GG114	Florida IAMC 	COMEF";"Días y horarios: Lu, Ma, J y V de 15:30 a 17:00 hr<br>                             Sáb de  09:30 a 11:00 hrs<br>	Dirección: G.FLORES 	3387	A. Ma. Fernández";;;;;-1;0;-1;;
"POINT (-55.6505461 -34.1030956)";"GC111  ASSE	Policlínica ASSE Casupá";"Días y horarios: Lun, Mi y Vie de 08:00 a 11:00<br>Dirección: J.P. Varela	1126	Fructuoso Rivera y Eustaquio Fernández";;;;;-1;0;-1;;
"POINT (-55.2265998 -34.3670358)";HH111 ASSE C.P CHLA-EP MINAS;Días y horarios: Lun a Vie de 08:00 a 12:00<br>Dirección: Dr Dighiero y Varela;;;;;-1;0;-1;;
"POINT (-55.2377827 -34.3759539)";"HH112 ASSE	Centro Materno Infantil MINAS";"Días y horario: Lun a Vie de 07:30 a 12:30<br>Dirección: 18 de Julio	668	Domingo Perez y Florencio Sanchez";;;;;-1;0;-1;;
"POINT (-54.7806466 -34.0435828)";"HD112		IAMC CAMDEL Mariscala";"Días y horarios: Mi de 08:00 a12:00<br>Dirección: Av Artigas 	 s/n 	Treinta y tres y 8 de Octubre";;;;;-1;0;-1;;
"POINT (-54.9384642 -33.5273362)";HG111  Policlínica de ASSE Zapicán ;"Días y horarios: 4º Jue de 15:00 a 18:00<br> Dirección: 25 de Agosto	 s/n	Constitución";;;;;-1;0;-1;;
"POINT (-54.9447751 -34.921315)";"II130	Punta del Este IAMC	Asistencial Medica Maldonado";"Días y horarios: Vie de 08:00 a 12:50 Hrs.<br>Dirección: Louvre	s/n	Br Artigas y Avda Cordoba- PROVISORIO AVDA ROSSEVELT C/PASCUAL GATTAS";;;;;-1;0;-1;;
"POINT (-55.278874 -34.8613071)";"ID111 ASSE	Policlínica Piriápolis ";"Días y horarios: Lun,  Mi y Vie de 08:00 a 12:00<br>Dirección: Simón del Pino 	s/n	Dr. Héctor Barrios";;;;;-1;0;-1;;
"POINT (-58.0838074 -32.3261342)";"KK123  IAMC 	Servimed";"Días y horarios: Lun a Sábados de 08:00 a 10:00<br> Dirección: Soriano 	1192	Zorilla";;;;;-1;0;-1;;
"POINT (-58.3113145 -33.1148745)";"LL115	Fray Bentos IAMC	AMEDRIN";"Días y horarios: Lun, Mi, Vie de 16:00 a 18:00<br>Dirección: Rivera	s/n	25 de mayo y 33 Orientales";;;;;-1;0;-1;;
"POINT (-55.5445737 -30.9084753)";"MM111- MM112 RIVERA CHLA-EP	CP Rivera ";"Días y horarios: L a Vi de 07:30 a 13:00 hrs.<br>Dirección: Dr Perdomo	1078	25 de Agosto y 12 de Octubre";;;;;-1;0;-1;;
"POINT (-55.528614 -30.903401)";"MM113 Centro Salud ASSE ""Dr Jose Royol""";"Días y horarios: Lun a Vie de 08:00 - 11:30 y de 14:00 - 17:30 hrs.<br>Dirección: Avda. Libano	548	Taboba y Carambula";;;;;-1;0;-1;;
"POINT (-55.5408935 -30.9032601)";"MM115 IAMC	COMERI-Rivera";"Días y horarios: Lun a Vie de 08:00 a 11:30             Vacunación antigripal: Ma, Jue y Vie 13:00 a 16:30<br>Dirección: Ituzaingó	725	Brasil";;;;;-1;0;-1;;
"POINT (-55.5579168 -30.8933692)";MM116 Centro Medico y Odontológico Rivera (CEMOC);"Días y horarios: Lun. Mi y Viernes de 9:00 a 11:00<br>Dirección: Franco Segarra	700	Florencio Sanchez y Jose E. Rodo";;;;;-1;0;-1;;
"POINT (-54.3378056 -34.4773868)";"NN114 IAMC	COMERO Rocha";"Días y horarios: Mar., Mier. y Vier. de 6:30 a 11:30, Lun., Mier. y Jueves de 14:30 a 17:30. <br>Dirección: Eliseo Marzol	1857	Treinta y tres y Florencio Sanchez";;;;;-1;0;-1;;
"POINT (-53.4687224 -33.6940363)";NC111  Sub C.P CHLA-EP CHUY;"Días y horarios: Lun a Vi de 08:00 a 13:00 hrs.<br>Dirección: IPIRANGA 	s/n	Melo y Juan Agüero";;;;;-1;0;-1;;
"POINT (-56.7140184 -34.3379338)";PP114  - AMSJ Asociación  Médica San José;"Días y horarios: Lun a vie de 08:00 a 11:15 hs y de 14:30 a 17:30 hs<br>Dirección: Julián Becerro Bengoa	518	Treinta Y Tres y 25 de Mayo";;;;;-1;0;-1;;
"POINT (-56.713341 -34.3411473)";PP115  IAMC Intendencia Municipal de San José;"Días y horarios: Lun a V de 09:00 - 14:45<br>Dirección: Larrañaga	404	Ituzaingó y Artigas";;;;;-1;0;-1;;
"POINT (-56.443843 -34.741507)";PE116 CIUDAD DEL PLATA - AMSJ ;"Días y horarios: Mi de 13:30 a 17:00<br> Dirección: Cno de las Tropas	s/n	Av. Rio de la Plata";;;;;-1;0;-1;;
"POINT (-56.388069 -34.766523)";"PE114  ASSE	CENTRO AUXILIAR CIUDAD DEL PLATA";"Días y horarios: Lu a V de 13:00 a 17:00 hrs. <br>Dirección: Ruta 1 km 26 , manzana 67 - Calle Rivera s/n esq. Salto";;;;;-1;0;-1;;
"POINT (-57.9617368 -31.3916047)";OO111  C.P CHLA-EP Salto;"Días y horarios: Lun a Vie de 07:30 a 12:30<br>Dirección: 18 de Julio	s/n 	Varela y Cervantes";;;;;-1;0;-1;;
"POINT (-57.899715 -31.3834723)";"OO114 ASSE	UBA 3 - Bº URUGUAY";Días y horarios: Lun a Vie de 09:00 a 12:00<br>Dirección: Lorenzo Latorre s/n Manuel Oribe;;;;;-1;0;-1;;
"POINT (-57.9637522 -31.3888618)";"OO128	SALTO  IAMC	CENTRO DE ASISTENCIA MEDICA ";Días y horarios: Lun a Vie de 09:00 a 15:00 hrs.<br>Dirección: Artigas 937 esq. 33 Orientales;;;;;-1;0;-1;;
"POINT (-57.9721894 -31.4064672)";"OO113	SALTO ASSE	UBA 1- CENTRO DE SALUD ";Días y horarios: Lun a Vie de 08:00 a 12:00<br>Dirección: Lavalleja 1902 Patulé;;;;;-1;0;-1;;
"POINT (-57.8557765 -31.0634032)";"OE111  ASSE	Policlínica ASSE Constitución";"Días y horarios: Mi de 07:00 a 13:00<br>Dirección: Oxandabarat 	436	Treinta y Tres y 25 de Agosto";;;;;-1;0;-1;;
"POINT (-56.2119272 -34.9077687)";"JA118  ASSE	CHLA EP	Centro de Salud Ciudad Vieja";"Días y horarios: Lun a Vie de 08:15 a 12:15<br>Dirección: 25 de Mayo	183	Francisco Maciel y Guaraní";;;;;-1;0;-1;;
"POINT (-56.1409609 -34.8216087)";"JA123	Piedras Blancas 	ASSE	CHLA EP	Centro de Salud Dr Bardano Repetto";"Días y horarios: Lun a Vier de 8:00 a 12:30	<br>Dirección: Capitán Tula 	4145	José Belloni y Aurelia Ramos de Segarra";;;;;-1;0;-1;;
"POINT (-56.1634832 -34.8977625)";JB111 - HOSPITAL PEREIRA ROSSELL;"Días y horarios: Lun a Vie de 07:30 a 17:30<br>Dirección: Lord Ponsonby 2410, Bulevar artigas";;;;;-1;0;-1;;
"POINT (-56.1166009 -34.8718775)";JF205 MUCAM MALVÍN;"Días y horarios: Lun de 15:00 a 17:00<br>Teléfono: 2525 0528 <br>Dirección: Camino Carrasco 	4680	Roberto Berro y Estado de Israel";;;;;-1;0;-1;;
"POINT (-56.138406 -34.8750846)";"JB139	Unión ASSE	Hospital Pasteur";"Días y horarios: Lun a Vie de 06:30 a 11:30<br>Dirección: Larravide 	2411	Mateo Cabral";;;;;-1;0;-1;;
"POINT (-56.1552359 -34.8836654)";"JD118	Blanqueada 	FFFA HOSPITAL MILITAR";"Días y horarios: Lun a Vie de  08:00 a 12:00<br>Dirección: 8 de octubre	3050	Centenario";;;;;-1;0;-1;;
"POINT (-56.1611468 -34.8684535)";"JD119 DNSN	HOSPITAL POLICIAL";"Días y horarios: Lun a Vie de  07:30 a 17:00<br>Dirección: José Batlle y Ordoñez	3574	José P. Varela y Arrieta";;;;;-1;0;-1;;
"POINT (-56.1921002 -34.8288868)";"(CERRADO Temporalmente) JD128	Casavalle FFAA	CAP Nº1- Armada";"(CERRADO Temporalmente) <br>Días y horarios: Lun a Jue de 8:30 a 16:00<br>Dirección: Camino Casavalle	4344	Hamburgo";;;;;-1;0;-1;;
"POINT (-56.2104545 -34.9072776)";"JD129	Ciudad Vieja FFAA	CMI ARMADA";"Días y horarios: Lun. a Vie. de 8.00  a 11.30 Hrs.<br>Dirección: 25 de mayo	269	Pérez Castellanos y Colón";;;;;-1;0;-1;;
"POINT (-56.1628774 -34.8023072)";"JD130	Piedras Blancas FFAA	BOISO LANZA - CAP Nº 1 -FUERZA AEREA";"Días y horarios: Lun a Jue de 9:00 a 12:00 Hrs. y<br>Mar de 14:00 a 16:00 Hrs.<br> Dirección: Avda. Pedro de Mendoza 	 5.553,00 	Boiso Lanza y Cap.Coralio Lacosta";;;;;-1;0;-1;;
"POINT (-56.224364 -34.7986004)";"JE115	Colon Policlínica IMM Colon ";"Días y horarios: Lun a Mie de 9:00 a 12:00 Hrs.<br>Dirección: Avda. Garzón	2101	Duran y Calderón de la Barca";;;;;-1;0;-1;;
"POINT (-56.2326805 -34.8636099)";"JE119	La Teja	IMM Policlínica La Teja";"Días y horarios:  Viernes de 13:00 a 16:30 hrs.<br>Dirección: Carlos Mª Ramirez 	681	 José Castro y Rivera Indarte";;;;;-1;0;-1;;
"POINT (-56.1991293 -34.8378875)";"JE125	Lavalleja Policlínica IMM Lavalleja";"Días y horarios: Juev. y Sab de 08:00 a 11:30 <br>Dirección: Soria 	1342	Arangua y Oliveras";;;;;-1;0;-1;;
"POINT (-56.173541 -34.8335216)";"JE126  Policlínica IMM Casavalle 
";"Días y horarios: Mier. y Sab. de 09:00 a 12:00 Hrs.<br>Dirección: Leandro Gómez	 s/n	José Martiriné y avda Gustavo Volpe ";;;;;-1;0;-1;;
"POINT (-56.273157 -34.8373604)";JE129  Policlínica IMM Paso de La Arena;"Días y horarios:  Martes, Miercoles y Viernes de 09:00 a 12:00, Jueves de 11:30 a 14:00 <br>Dirección: Tomkimson	2459	Luis Batlle Berres y Camino Cibils";;;;;-1;0;-1;;
"POINT (-56.2585146 -34.8850888)";"JE131 Policlínica IMM Casabó
";Días y horarios: Mi y S menos 1er Mi de c/mes de 8:00 a 11:00<br>Dirección: Charcas 2690 Liberia y Camerún ;;;;;-1;0;-1;;
"POINT (-56.1763671 -34.8989335)";JE136 Policlínica IMM LUISA TIRAPARE;"Días y horarios: Mar. y Vier. de 14:00 a 17:00 hrs. Sab. de 10:30 a 12:30 hrs.  <br> Dirección: Uruguay	1936	Fernández Crespo y Arenal Grande";;;;;-1;0;-1;;
"POINT (-56.2005245 -34.8272276)";"JE137		IMM  ZULLY SANCHEZ";"Días y horarios: Mar. y Juev. 14:00 Hrs (se entregan 20N°)., Mier. 7:30 (se entregan 40N°) y Sab.8:00 hrs. (se entregan 20 N°). <br>Dirección: Cnel. Raiz 	s/n	 esq: Saravia";;;;;-1;0;-1;;
"POINT (-56.1791204 -34.9070378)";"JF113  IAMC 	CIRCULO CATÓLICO";Días y horarios: Lun a Vie de 08:30 a 14:30 Hrs.                                                        15:00 a 17:00 Hrs.<br>Dirección: Minas 1250;;;;;-1;0;-1;;
"POINT (-56.1644971 -34.895908)";"JF115 IAMC 	CUDAM	Bulevar Artigas ";"Días y horarios: Miercoles de 15:00 a 19:00 hrs. <br>Dirección: Bulevar Artigas 	1632	Avda Italia y Morales";;;;;-1;0;-1;;
"POINT (-56.1615084 -34.8944086)";JF117 HOSPITAL BRITANICO;"Días y horarios: Lun a Vie de 08:00 a 19:00, Sábados de 08:00 a 12:00. <br>Vacunación con agenda. <br>Dirección: Avelindo Miranda	2671	Avda Italia y Bauza";;;;;-1;0;-1;;
"POINT (-56.1604303 -34.8931681)";"JF125  IAMC 	MUCAM";"Días y horarios: Lun a Vie de 08:30 a 19:00, Sábados de 8:30 a 12:00<br>Dirección: Avda. Italia 	2550	Presidente Berro";;;;;-1;0;-1;;
"POINT (-56.1743448 -34.9001806)";"JF129  IAMC 	CASMU";"Días y horarios: Lun a Vie de 07:30 a 11:00 <br>                                                    14:30 a 18:15<br>Dirección: Arenal Grande	1549	Colonia y 18 de Julio";;;;;-1;0;-1;;
"POINT (-56.188604 -34.903936)";"JF137  IAMC 	SMI-IMPASA";"Días y horarios: Lun a Vie de 08:15 a 18:15<br>Dirección: Mercedes	1290	 Yí y Yaguarón";;;;;-1;0;-1;;
"POINT (-56.2499271 -34.8819111)";"JF150 IAMC 	ASOCIACIÓN ESPAÑOLA CERRO";"Días y horarios: 1º y 3º Vie. de cada mes de 14:00 a17:30 hrs.<br>Dirección: Grecia	3865	Suecia y Austria";;;;;-1;0;-1;;
"POINT (-56.1610244 -34.897138)";JF159 CLÍNICA SETIEMBRE - MP;Días y horarios: Lun a Vie de 08:00 a 17:00 hrs.   <br>Dirección: Dr Prudencio 2582 esq Pedro Cambell;;;;;-1;0;-1;;
"POINT (-56.0587971 -34.8903905)";JF162 CLÍNICA CARRASCO - MP;"Días y horarios: Lun a Vie de 08:00 a 17:00 hrs.<br>Dirección: Blanes Viale	6352 Puntas de Santiago y Divina Comedia";;;;;-1;0;-1;;
"POINT (-56.1185158 -34.8521251)";"JE139  IMM	Policlínica Crece
";"Días y horarios: Lun, Mi y Jue de 12:00 a 14:00<br>                             Ma y Sab de 08:00 a 12:00<br>Dirección: Manuel Acuña		Rubén Darío y Del Fuerte";;;;;-1;0;-1;;
"POINT (-56.1650672 -34.8912444)";"JF168 IAMC 	UCM CENTRAL";"Días y horarios: Lun a Vie de 10:30 a 13:30 hrs. y de 14:30 a 17:30 hrs.<br>Dirección: Bulevar Artigas	1956	Nicaragua y Miguelete";;;;;-1;0;-1;;
"POINT (-55.12986 -33.1053154)";"SA112	Cerro Chato	IAMC Médica Uruguaya ";"Días y horarios: Vie de 17:00 a 19:00<br>Teléfono: 44662166<br>Dirección: Liborio Rolan	s/n	Florida y Cerro Largo";;;;;-1;0;-1;;
"POINT (-53.805564 -33.2040476)";"SC111	Charqueada	ASSE	CHLAEP	 Policlínica";"Días y horarios: 2do Jueves del mes de 08:00 a 12:00<br>Teléfono: 4459 2225<br>Dirección: Dr. Jose Ellauri	s/n	Gral Diego Lamas y Gral Villagran";;;;;-1;0;-1;;
"POINT (-56.056684 -34.8906523)";"JF183 IAMC 	UCM CARRASCO";"Días y horarios: L a V de 15:30 a 18:30 Hs. y Miercoles y Viernes de 9:30 a 12:30<br>Dirección: Avda. Arocena 	1545	Rambla Rep de Mex";;;;;-1;0;-1;;
"POINT (-56.2730816 -34.836186)";"JF188  IAMC 	ASOCIACIÓN ESPAÑOLA Paso de la Arena";Días y horarios: Ma de 08:30 a 11:30 hrs.<br>Dirección: Luis Batlle Berres 6665 esq Tomkinson;;;;;-1;0;-1;;
"POINT (-56.1584024 -34.9218705)";"JF189  IAMC 	COSEM PTA. CARRETAS";"Días y horarios: Lun a  Vie de 09:15 a 19:00<br>                             Sab de 09:00 a 12:30<br>Dirección: José Ellauri	461	Joaquín Núñez y Montero";;;;;-1;0;-1;;
"POINT (-53.9364473 -32.9386714)";"SE111	Vergara	ASSE	CHLAEP - Centro Auxiliar ";"Días y horarios: Último Miércoles del mes de 07:00 a 10:00<br>Teléfono: 4458 2070<br>Dirección: Cnel. M. Barreto	1260, esquina Fortunato Jara Bernardo Silvera";;;;;-1;0;-1;;
"POINT (-56.2336372 -34.8638376)";"JF191 IAMC 	SMI LA TEJA";"Días y horarios: Lun, Mi y Jue de 12:10 a 15:45<br>Dirección: Carlos María Ramírez 	732	 Agustín Muñoz y Ascasubi";;;;;-1;0;-1;;
"POINT (-53.9384688 -32.9378071)";"SE112	Vergara	IAMC	IAC - Instituto De Asistencia Colectivo ";"Días y horarios: Ma y Vie (menos el último del mes) de 14:00 a 16:00<br>Teléfono: 4458 2075<br>Dirección: Cnel. M. Barreto	1101	esq. Fco. Tajes";;;;;-1;0;-1;;
"POINT (-56.1597134 -34.8920839)";"JF202 IAMC 	COSEM Parque Batlle";"Días y horarios: Lun a Vie de 09:15 a 19:00, Sáb de 09:15 a 12:00<br> Dirección: Avda. Italia 	2603	 Dr. Manuel Albo y Presidente Berro";;;;;-1;0;-1;;
"POINT (-56.1556523 -34.9144019)";"JF215 IAMC 	UCM POCITOS";"Días y horarios: Lun a Vie de 15:30 a 18:30 hrs.<br>Dirección: Sarmiento	2626	Luis de la Torre y Fco Aguilar";;;;;-1;0;-1;;
"POINT (-56.1874783 -34.9045333)";"JF221  IAMC 	Asociación Española Centro";"Días y horarios: Ma y Jue de 09:00 a 12:30 hrs.<br>Dirección: Colonia 	1329	Ejido y Yaguarón";;;;;-1;0;-1;;
"POINT (-56.1584981 -34.9247654)";JF222  Asociación Española Punta Carretas ;Días y horarios: Lun. a Mié. y Vie. de 14:00 a 17:30 Hrs.<br>Dirección: Ellauri 3060 local 338/350 3ER nivel shopping;;;;;-1;0;-1;;
"POINT (-56.1344964 -34.9071583)";"JF225  IAMC	SUMMUM";Días y horarios: Lun a Vie de 08:00 a 19:00<br>Dirección: Tomas de Tezanos 1029 esq Antonio D Costa ;;;;;-1;0;-1;;
