WKT;name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon
"POINT (-55.985405 -31.721095)";"RR111	C.P CHLA-EP TACUAREMBO";Días y horarios: Lun a V de 08:00 a 12:00<br>Dirección: Lorenzo Carnelli s/n y J.P Varela y Treinta y Tres Orientales;;;;;-1;0;-1;;
"POINT (-55.982852 -31.715354)";"RR114	COMTA";"Días y horarios: Lun a Vie de 14:15 a 17:45<br>Dirección: 25 DE MAYO		Dr Catalina";;;;;-1;0;-1;;
"POINT (-56.510467 -32.814609)";"RD111	C.P CHLA-EP P. DE LOS TOROS";Días y horarios: Lun a Vie de  08:30 a 12:00<br>Dirección: Dr. Berruti s/n y Dr. Monestier y Rivera;;;;;-1;0;-1;;
"POINT (-56.506024 -32.813871)";"RD113	COMTA P. DE LOS TOROS";Días y horarios: Lun a Vie de 13:15 a 15:15<br>Dirección: Br. Artigas 357 y Artemio Correa y Atanasio Sierra;;;;;-1;0;-1;;
"POINT (-55.836438 -32.61974)";"RE111	ASSE Centro Auxiliar San Gregorio ";Días y horarios: Lun a Vie de  07:00 a 11:30<br>Dirección: Dr. Gamba 55 e Independencia y 25 de Mayo;;;;;-1;0;-1;;
"POINT (-54.16778 -32.3767083)";"CC111	C.P CHLA.EP MELO";"Días y horarios: Lun a Vie de 07:30 a 13:30<br>Dirección: Treinta y Tres	293, Manuel Oribe";;;;;-1;0;-1;;
"POINT (-54.163386 -32.368132)";"CC113 ASSE	Centro de Salud Melo";Días y horarios: Lun a Vie de  07:00 a 18:00<br>Dirección: Colón 919 y Br Matta y Dr. Ferreira;;;;;-1;0;-1;;
"POINT (-54.523746 -32.514157)";"CB112 IAMC	Camcel Fraile Muerto
";"Días y horarios: Ma de 8:00 a 12:00<br>jueves	13:00 a 17:00<br>Dirección: Manuel Artucio 699";;;;;-1;0;-1;;
"POINT (-53.37985 -32.593604)";"CD111	C.P CHLA.EP - RIO BRANCO";"Días y horarios: Lunes, Jueves y Viernes de 08:00 a 12:30<br>Dirección: Ismael Velázquez 1131 y Joaquín de Paz y Joaquín Travieso";;;;;-1;0;-1;;
"POINT (-57.844921 -34.471506)";DD111 C.P CHLA.EP COLONIA ;"Días y horarios: Lun a Vie de  07:30 a 13:30<br>Dirección: Batlle y ordoñez, F Bassaum";;;;;-1;0;-1;;
"POINT (-57.84493 -34.471031)";DD113 CAMEC - ORAMECO ;"Días y horarios: Lun., Mier y Viernes de 13:00 a 16:00 <br>Dirección: Alberto Méndez 170 y Gral flores y 18 de Julio";;;;;-1;0;-1;;
"POINT (-57.839589 -34.462558)";DD114 Hospital Evangélico Colonia ;Días y horarios: Sab de 08:00 a 13:00<br>Dirección: Baltasar Brum 703 y Domingo Baque y Aparicio Saravia;;;;;-1;0;-1;;
"POINT (-57.611179 -34.263379)";DK112 CAMEC TARARIRAS;"Días y horarios: Lun, Mi y Vi de 12:30 a 15:30 hrs.<br>Dirección: Manuel Oribe s/n y Avda. Kenedy y Rivera";;;;;-1;0;-1;;
"POINT (-58.2830605 -33.9899992)";DA111 Sub C.P CHLA.EP CARMELO;Días y horarios: Lun a Vie de 08:00 a 12:30<br>Dirección: Av Artigas esq. Uruguay;;;;;-1;0;-1;;
"POINT (-58.405176 -33.868678)";"DH111 ASSE	CENTRO AUXILIAR ASSE Nueva Palmira ";Días y horarios: Lun a Vie de 07:00 a11:00<br>Dirección: Jose Pedro Varela e Ibicuy;;;;;-1;0;-1;;
"POINT (-57.356707 -34.317251)";DJ111 C.P CHLA.EP ROSARIO  ;Días y horarios: Lun a Vie de  08:00 a 13:00 hrs.<br>Dirección: Martínez Diez s/n y J. M.Garat y Gral Artigas;;;;;-1;0;-1;;
"POINT (-57.2276349 -34.2809394)";DG111 CENTRO AUXILIAR ASSE Nueva Helvecia;"Días y horarios: Lun, Mi y Jue de 08:00 a 13:00 hrs.<br>Dirección: 18 de julio esq. Cunier y Dreyer";;;;;-1;0;-1;;
"POINT (-57.370433 -33.875712)";DL111 CAMEC FLORENCIO SANCHEZ  ;Días y horarios: Martes 12:30 a 14:30 hrs.<br>Dirección: Artigas entre 19 de Abril y Varela;;;;;-1;0;-1;;
