id;descripcio;coddepto;departamen;codloc;localidad;idcalle;calle;nro;km;idesq1;esquina;idesq2;esq2;manzana;solar;tel1;tel2;tel3;observacio;direccion;fechaactua;telefono;desydepto;tipo;correo;web;fax;horario;x;y;lon;lat;nombre;id2
126253;CENTRO AUXILIAR NUEVA HELVECIA;5;COLONIA;5421;NUEVA HELVECIA;;18 DE JULIO;;;;CARLOS CUNIER;;;;;;;;18 DE JULIO esquina CARLOS CUNIER;;14-03-2026;;;;;;;;479013.984539772;6206785.03903517;-57.228;-34.2799;CENTRO AUXILIAR NUEVA HELVECIA;
126256;CENTRO AUXILIAR NUEVA PALMIRA;5;COLONIA;5423;NUEVA PALMIRA;;JOSE PEDRO VARELA;;;;ITUZAINGO;;;;;;;;JOSE PEDRO VARELA esquina ITUZAINGO;;14-03-2026;;;;;;;;370047.486907136;6251480.81918696;-58.405;-33.869;CENTRO AUXILIAR NUEVA PALMIRA;
126289;CENTRO AUXILIAR SARANDI DEL YI;6;DURAZNO;6421;SARANDI DEL YI;;AVDA. DR. HECTOR PETRINI;;;;DR. JOSE BATLLE Y ORDO�EZ;;;;;;;;PETRINI esquina BATLLE;;14-03-2026;;;;;;;;628057.811836649;6310074.50445377;-55.6239;-33.3409;CENTRO AUXILIAR SARANDI DEL YI;
126302;C S CERRO CHATO;6;DURAZNO;6790;CERRO CHATO;;BVAR. BRIG. GRAL. MANUEL ORIBE;;;;FERNANDO BOTTANA;;;;;;;;MANUEL ORIBE esquina FERNANDO BOTANA;;14-03-2026;;;;;;;;673392.250439619;6336091.23676622;-55.1419;-33.1;CENTRO AUXILIAR CERRO CHATO;
126333;CENTRO AUXILIAR SARANDI GRANDE;8;FLORIDA;8421;SARANDI GRANDE;;LUIS PASTEUR;1052;;;TREINTA Y TRES;;;;;;;;PASTEUR 1052 esquina TREINTA Y TRES;;14-03-2026;;;;;;;;562544.836123484;6268141.2979029;-56.3249;-33.7249;CENTRO AUXILIAR SARANDI GRANDE;
126370;CENTRO AUXILIAR JOSE BATLLE Y ORDONEZ;9;LAVALLEJA;9521;JOSE BATLLE Y ORDO�EZ;;18 DE JULIO;;;;GRAL. JOSE ARTIGAS;;;;;;;;18 DE JULIO esquina JOSE GERVASIO ARTIGAS;;14-03-2026;;;;;;;;672284.28768779;6294747.53457444;-55.1459;-33.4729;CENTRO AUXILIAR JOSE BATLLE Y ORDONEZ;
126384;C S VIGIA;10;MALDONADO;10020;MALDONADO;;;;;;;;;;;;;;CONT GARZON esquina BARRIO CUGNETI;;14-03-2026;;;;;;;;686603.5074242;6137042.00127665;-54.9579;-34.8919;CENTRO DE SALUD VIGIA;
126392;CENTRO AUXILIAR DE AIGUA;10;MALDONADO;10521;AIGUA;;AVDA. GRAL. JOSE GERVASIO ARTIGAS;;;;BRIG. GRAL. FRUCTUOSO RIVERA;;;;;;;;JOSE GERVASIO ARTIGAS esquina FRUCTUOSO RIVERA;;14-03-2026;;;;;;;;705659.93934511;6213204.88673094;-54.7679;-34.2019;CENTRO AUXILIAR AIGUA;
126393;CENTRO AUXILIAR PAN DE AZUCAR;10;MALDONADO;10522;PAN DE AZUCAR;;RINCON;;;;FRANCISCO BONILLA;;;;;;;;RINCON esquina FRANCISCO EDUARDO BONILLA;;14-03-2026;;;;;;;;662517.937389883;6150149.46770185;-55.2239;-34.7779;CENTRO AUXILIAR PAN DE AZUCAR;
126409;C S PAYSANDU;11;PAYSANDU;11120;PAYSANDU;;MONTECASEROS;;;;AVDA. SORIANO;;;;;;;;MONTECASEROS esquina SORIANO;;14-03-2026;;;;;;;;398263.394603664;6422926.62808362;-58.0809;-32.3259;CENTRO DE SALUD PAYSANDU;
