id,Ticket de medicamentos - general. FONASA,Ticket de medicamentos - general. NO FONASA,"Ticket de medicamentos topeados- antihipertensivos (valsartán, amlodipina, hidroclorotiazida, enalapril). FONASA","Ticket de medicamentos topeados- antihipertensivos (valsartán, amlodipina, hidroclorotiazida, enalapril). NO FONASA",Consulta no urgente consultorio - medicina general. FONASA,Consulta no urgente consultorio - medicina general. NO FONASA,Consulta no urgente consultorio - pediatria. FONASA,Consulta no urgente consultorio - pediatria. NO FONASA,Consulta no urgente consultorio - gineco-obstetricia (control de embarazo). FONASA,Consulta no urgente consultorio - gineco-obstetricia (control de embarazo). NO FONASA,Consulta no urgente consultorio - ginecologia. FONASA,Consulta no urgente consultorio - ginecologia. NO FONASA,Consulta no urgente consultorio - otras especialidades. FONASA,Consulta no urgente consultorio - otras especialidades. NO FONASA,Consulta urgencia centralizada. FONASA,Consulta urgencia centralizada. NO FONASA,Consulta no urgencia domicilio. FONASA,Consulta no urgencia domicilio. NO FONASA,Consulta urgencia domicilio. FONASA,Consulta urgencia domicilio. NO FONASA,Consulta odontologica. FONASA,Consulta odontologica. NO FONASA,Consulta medico de referencia. FONASA,Consulta medico de referencia. NO FONASA,Endoscopía digestiva. Endoscopia esofagogastroduodenal. FONASA,Endoscopía digestiva. Endoscopia esofagogastroduodenal. NO FONASA,Ecografía simple. FONASA,Ecografía simple. NO FONASA,Ecodoppler miembros (inferiores / superiores) arterial / venoso. FONASA,Ecodoppler miembros (inferiores / superiores) arterial / venoso. NO FONASA,Rx abdomen / aparato urinario simple. FONASA,Rx abdomen / aparato urinario simple. NO FONASA,Rx torax. FONASA,Rx torax. NO FONASA,Rx colorectal. (c/contraste) FONASA,Rx colorectal. (c/contraste) NO FONASA,"Resonancia nuclear magnética, una región. FONASA","Resonancia nuclear magnética, una región. NO FONASA","Tomografía axial computarizada, una región. FONASA","Tomografía axial computarizada, una región. NO FONASA","Laboratorio, rutina básica. FONASA","Laboratorio, rutina básica. NO FONASA"
6985,136.42,136.42,81.01,81.01,84.43,84.43,84.43,84.43,84.43,84.43,84.43,84.43,172.01,172.01,259.57,259.57,259.57,259.57,350.62,350.62,367.93,367.93,0.00,0.00,950.00,950.00,275.64,275.64,460.71,460.71,275.64,275.64,275.64,275.64,460.71,460.71,950.00,950.00,609.81,609.81,1011.99,1011.99
7062,153.48,153.48,91.60,91.60,79.24,79.24,22.20,22.20,0.00,0.00,85.71,85.71,145.84,145.84,175.01,175.01,239.45,239.45,355.51,355.51,162.35,162.35,79.25,79.25,443.39,443.39,256.68,256.68,304.10,304.10,214.08,214.08,214.08,214.08,214.08,214.08,950.00,950.00,567.17,567.17,542.47,542.47
7214,149.54,149.54,87.64,87.64,79.45,79.45,79.45,79.45,79.45,79.45,79.45,79.45,214.53,214.53,125.46,125.46,213.69,213.69,242.91,242.91,263.97,263.97,79.45,79.45,399.38,399.38,289.45,289.45,481.48,481.48,344.32,344.32,344.32,344.32,481.48,481.48,753.12,753.12,563.79,563.79,477.09,477.09
7264,119.55,119.55,20.00,20.00,83.39,83.39,44.16,44.16,44.16,44.16,44.16,44.16,133.64,133.64,162.96,162.96,229.67,229.67,466.25,466.25,257.15,257.15,0.00,0.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,140.00,140.00
7466,162.76,162.76,86.12,86.12,0.00,83.28,0.00,0.00,0.00,83.28,0.00,83.28,0.00,159.22,0.00,246.45,286.54,286.54,457.88,457.88,286.54,286.54,0.00,83.28,378.66,378.66,193.03,193.03,440.39,440.39,127.17,127.17,127.17,127.17,127.17,127.17,378.66,378.66,378.66,378.66,353.52,353.52
7553,129.81,129.81,84.79,84.79,0.00,77.29,0.00,77.29,0.00,77.29,0.00,77.29,0.00,471.37,0.00,206.12,0.00,229.77,0.00,462.89,253.44,253.44,0.00,81.83,347.07,347.07,192.99,647.78,192.99,192.99,174.24,602.22,174.24,602.22,293.03,293.03,347.14,347.14,347.07,347.07,275.18,646.77
7618,142.70,142.87,91.88,92.14,81.80,82.28,22.20,22.20,36.70,36.70,45.06,82.28,144.25,144.27,236.05,236.72,284.60,284.05,398.95,399.03,364.34,364.10,0.00,81.83,382.25,330.25,199.63,199.63,403.13,402.52,209.55,208.64,208.31,208.64,208.64,208.31,950.00,950.00,465.33,467.90,554.58,554.58
7719,134.59,134.59,81.72,81.72,83.76,83.76,83.76,83.76,83.76,83.76,81.71,81.71,182.27,182.27,155.02,155.02,255.93,255.93,284.09,284.09,300.99,300.99,83.76,83.76,288.83,288.83,252.36,252.36,252.36,252.36,252.36,252.36,252.36,252.36,252.36,252.36,343.51,343.51,343.51,343.51,504.59,504.59
7810,85.13,138.29,81.72,81.72,84.91,84.91,83.09,83.09,83.09,83.09,83.09,83.09,121.75,121.75,200.01,200.01,269.59,269.59,452.24,452.24,359.58,359.58,84.91,84.91,184.79,184.79,165.65,165.65,165.65,165.65,165.65,165.65,165.65,165.65,165.65,165.65,400.47,400.47,400.47,400.47,331.26,331.26
8012,117.68,143.39,83.42,83.42,54.86,54.86,0.00,0.00,57.26,57.26,57.26,57.26,88.61,88.61,163.59,163.59,177.22,177.22,272.64,272.64,257.04,257.04,83.50,83.50,234.50,234.50,169.40,169.40,357.91,357.91,135.13,135.13,135.13,135.13,148.14,148.14,558.39,558.39,558.39,558.39,270.20,270.20
8163,137.48,137.48,79.07,79.07,80.93,80.93,80.93,80.93,80.93,80.93,80.93,80.93,152.22,152.22,216.57,216.57,286.85,286.85,488.73,488.73,301.40,301.40,80.93,80.93,252.66,252.66,252.66,252.66,252.66,252.66,222.22,222.22,114.10,114.10,252.66,252.66,342.64,342.64,342.64,342.64,548.84,548.84
8220,178.35,178.35,91.64,91.64,70.38,70.38,70.38,70.38,70.38,70.38,70.38,70.38,197.01,197.01,197.01,197.01,197.01,197.01,283.15,283.15,197.01,197.01,70.38,70.38,950.00,950.00,298.10,298.10,950.00,950.00,298.10,298.10,298.10,298.10,413.08,413.08,950.00,950.00,950.00,950.00,596.04,596.06
8264,165.62,165.62,91.95,91.95,83.08,83.08,83.08,83.08,83.08,83.08,83.08,83.08,182.28,182.28,258.71,258.71,284.60,284.60,597.46,597.46,375.13,375.13,83.08,83.08,263.27,263.27,158.39,158.39,263.27,263.27,158.39,158.39,158.39,158.39,263.27,263.27,555.99,555.99,555.99,555.99,485.23,485.23
9502,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,140.00,140.00
9508,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,140.00,140.00
9516,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,140.00,140.00
9518,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,140.00,140.00
9526,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,140.00,140.00
9532,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,140.00,140.00
9548,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,140.00,140.00
